R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0002	-00.0012	0000.000
-00.0002	-00.0015	0000.001
-00.0451	-00.0021	0000.002
-00.0899	-00.0039	0000.003
-00.1354	-00.0061	0000.004
-00.1799	-00.0097	0000.005
-00.2254	-00.0149	0000.006
-00.2703	-00.0204	0000.007
-00.3157	-00.0271	0000.008
-00.3603	-00.0351	0000.009
-00.4055	-00.0436	0000.010
-00.4506	-00.0531	0000.011
-00.4955	-00.0625	0000.012
-00.5404	-00.0729	0000.013
-00.5855	-00.0839	0000.014
-00.6304	-00.0946	0000.015
-00.6759	-00.1068	0000.016
-00.7213	-00.1178	0000.017
-00.7659	-00.1303	0000.018
-00.8110	-00.1425	0000.019
-00.8556	-00.1547	0000.020
-00.9011	-00.1666	0000.021
-00.9465	-00.1785	0000.022
-00.9914	-00.1904	0000.023
-01.0360	-00.2020	0000.024
-01.0811	-00.2133	0000.025
-01.1263	-00.2240	0000.026
-01.1712	-00.2349	0000.027
-01.2166	-00.2456	0000.028
-01.2615	-00.2557	0000.029
-01.3060	-00.2658	0000.030
-01.3515	-00.2755	0000.031
-01.3967	-00.2853	0000.032
-01.4412	-00.2942	0000.033
-01.4870	-00.3030	0000.034
-01.5322	-00.3112	0000.035
-01.5767	-00.3192	0000.036
-01.6222	-00.3274	0000.037
-01.6674	-00.3354	0000.038
-01.7122	-00.3427	0000.039
-01.7571	-00.3494	0000.040
-01.8026	-00.3564	0000.041
-01.8474	-00.3631	0000.042
-01.8923	-00.3701	0000.043
-01.9378	-00.3762	0000.044
-01.9826	-00.3820	0000.045
-02.0272	-00.3881	0000.046
-02.0729	-00.3939	0000.047
-02.1178	-00.3991	0000.048
-02.1630	-00.4040	0000.049
-02.2072	-00.4095	0000.050
-02.2533	-00.4144	0000.051
-02.2982	-00.4193	0000.052
-02.3424	-00.4235	0000.053
-02.3879	-00.4287	0000.054
-02.4331	-00.4327	0000.055
-02.4788	-00.4367	0000.056
-02.5231	-00.4412	0000.057
-02.5679	-00.4449	0000.058
-02.6137	-00.4495	0000.059
-02.6586	-00.4535	0000.060
-02.7031	-00.4565	0000.061
-02.7489	-00.4602	0000.062
-02.7935	-00.4635	0000.063
-02.8383	-00.4672	0000.064
-02.8838	-00.4705	0000.065
-02.9287	-00.4739	0000.066
-02.9735	-00.4770	0000.067
-03.0187	-00.4803	0000.068
-03.0632	-00.4834	0000.069
-03.1090	-00.4861	0000.070
-03.1536	-00.4895	0000.071
-03.1993	-00.4919	0000.072
-03.2439	-00.4950	0000.073
-03.2891	-00.4980	0000.074
-03.3336	-00.5008	0000.075
-03.3791	-00.5038	0000.076
-03.4243	-00.5059	0000.077
-03.4694	-00.5087	0000.078
-03.5140	-00.5111	0000.079
-03.5598	-00.5139	0000.080
-03.6046	-00.5163	0000.081
-03.6498	-00.5194	0000.082
-03.6946	-00.5218	0000.083
-03.7395	-00.5236	0000.084
-03.7856	-00.5267	0000.085
-03.8298	-00.5285	0000.086
-03.8747	-00.5316	0000.087
-03.9205	-00.5343	0000.088
-03.9647	-00.5365	0000.089
-04.0099	-00.5392	0000.090
-04.0551	-00.5410	0000.091
-04.1005	-00.5438	0000.092
-04.1457	-00.5465	0000.093
-04.1903	-00.5490	0000.094
-04.2363	-00.5514	0000.095
-04.2803	-00.5539	0000.096
-04.3254	-00.5566	0000.097
-04.3709	-00.5594	0000.098
-04.4155	-00.5612	0000.099
-04.4606	-00.5645	0000.100
-04.5055	-00.5664	0000.101
-04.4609	-00.5673	0000.102
-04.4167	-00.5664	0000.103
-04.3712	-00.5670	0000.104
-04.3254	-00.5667	0000.105
-04.2812	-00.5664	0000.106
-04.2369	-00.5661	0000.107
-04.1903	-00.5655	0000.108
-04.1457	-00.5645	0000.109
-04.1008	-00.5645	0000.110
-04.0557	-00.5633	0000.111
-04.0108	-00.5627	0000.112
-03.9653	-00.5624	0000.113
-03.9211	-00.5615	0000.114
-03.8753	-00.5609	0000.115
-03.8305	-00.5600	0000.116
-03.7850	-00.5587	0000.117
