R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0008	-00.0009	0000.000
-00.0002	-00.0006	0000.001
-00.0158	-00.0003	0000.002
-00.0319	-00.0009	0000.003
-00.0478	-00.0012	0000.004
-00.0640	-00.0006	0000.005
-00.0801	-00.0015	0000.006
-00.0966	-00.0009	0000.007
-00.1122	-00.0012	0000.008
-00.1284	-00.0018	0000.009
-00.1445	-00.0015	0000.010
-00.1604	-00.0015	0000.011
-00.1766	-00.0018	0000.012
-00.1921	-00.0018	0000.013
-00.2083	-00.0021	0000.014
-00.2242	-00.0027	0000.015
-00.2404	-00.0027	0000.016
-00.2562	-00.0033	0000.017
-00.2724	-00.0033	0000.018
-00.2883	-00.0036	0000.019
-00.3045	-00.0042	0000.020
-00.3206	-00.0045	0000.021
-00.3362	-00.0055	0000.022
-00.3524	-00.0064	0000.023
-00.3685	-00.0064	0000.024
-00.3844	-00.0076	0000.025
-00.4003	-00.0082	0000.026
-00.4165	-00.0088	0000.027
-00.4326	-00.0097	0000.028
-00.4485	-00.0116	0000.029
-00.4650	-00.0128	0000.030
-00.4802	-00.0140	0000.031
-00.4967	-00.0167	0000.032
-00.5129	-00.0198	0000.033
-00.5288	-00.0210	0000.034
-00.5449	-00.0241	0000.035
-00.5602	-00.0280	0000.036
-00.5773	-00.0332	0000.037
-00.5928	-00.0399	0000.038
-00.6084	-00.0473	0000.039
-00.6252	-00.0634	0000.040
-00.6411	-00.0818	0000.041
-00.6566	-00.1156	0000.042
-00.6728	-00.1599	0000.043
-00.6890	-00.2093	0000.044
-00.7045	-00.2737	0000.045
-00.7213	-00.3247	0000.046
-00.7372	-00.3463	0000.047
-00.7537	-00.6100	0000.048
-00.7692	-00.6234	0000.049
-00.7854	-00.6320	0000.050
-00.8010	-00.6408	0000.051
-00.8171	-00.6509	0000.052
-00.8336	-00.6549	0000.053
-00.8489	-00.6579	0000.054
-00.8651	-00.6610	0000.055
-00.8809	-00.6634	0000.056
-00.8971	-00.6662	0000.057
-00.9133	-00.6695	0000.058
-00.9295	-00.6912	0000.059
-00.9453	-00.6945	0000.060
-00.9612	-00.6973	0000.061
-00.9780	-00.6988	0000.062
-00.9935	-00.7006	0000.063
-01.0097	-00.7031	0000.064
-01.0256	-00.7049	0000.065
-01.0415	-00.7061	0000.066
-01.0576	-00.7077	0000.067
-01.0735	-00.7089	0000.068
-01.0891	-00.7107	0000.069
-01.1055	-00.7122	0000.070
-01.1214	-00.7132	0000.071
-01.1379	-00.7144	0000.072
-01.1541	-00.7153	0000.073
-01.1693	-00.7165	0000.074
-01.1858	-00.7174	0000.075
-01.2023	-00.7190	0000.076
-01.2178	-00.7196	0000.077
-01.2334	-00.7205	0000.078
-01.2499	-00.7214	0000.079
-01.2655	-00.7226	0000.080
-01.2822	-00.7232	0000.081
-01.2978	-00.7241	0000.082
-01.3140	-00.7251	0000.083
-01.3301	-00.7263	0000.084
-01.3457	-00.7266	0000.085
-01.3622	-00.7272	0000.086
-01.3778	-00.7290	0000.087
-01.3942	-00.7293	0000.088
-01.4095	-00.7306	0000.089
-01.4260	-00.7315	0000.090
-01.4418	-00.7321	0000.091
-01.4583	-00.7327	0000.092
-01.4745	-00.7342	0000.093
-01.4901	-00.7342	0000.094
-01.5068	-00.7351	0000.095
-01.5221	-00.7357	0000.096
-01.5383	-00.7364	0000.097
-01.5541	-00.7373	0000.098
-01.5703	-00.7376	0000.099
-01.5859	-00.7388	0000.100
-01.6024	-00.7388	0000.101
-01.6185	-00.7394	0000.102
-01.6341	-00.7403	0000.103
-01.6506	-00.7412	0000.104
-01.6665	-00.7412	0000.105
-01.6826	-00.7415	0000.106
-01.6985	-00.7422	0000.107
-01.7150	-00.7431	0000.108
-01.7308	-00.7434	0000.109
-01.7464	-00.7440	0000.110
-01.7626	-00.7446	0000.111
-01.7788	-00.7452	0000.112
-01.7946	-00.7458	0000.113
-01.8108	-00.7455	0000.114
-01.8261	-00.7464	0000.115
-01.8425	-00.7470	0000.116
-01.8590	-00.7473	0000.117
