R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0005	-00.0003	0000.000
-00.0002	-00.0006	0000.001
+00.0596	-00.0006	0000.002
+00.1197	+00.0003	0000.003
+00.1793	+00.0022	0000.004
+00.2400	+00.0049	0000.005
+00.3001	+00.0080	0000.006
+00.3602	+00.0132	0000.007
+00.4197	+00.0187	0000.008
+00.4799	+00.0263	0000.009
+00.5403	+00.0348	0000.010
+00.6001	+00.0425	0000.011
+00.6605	+00.0510	0000.012
+00.7209	+00.0580	0000.013
+00.7804	+00.0644	0000.014
+00.8406	+00.0702	0000.015
+00.9013	+00.0748	0000.016
+00.9608	+00.0791	0000.017
+01.0212	+00.0830	0000.018
+01.0810	+00.0858	0000.019
+01.1418	+00.0888	0000.020
+01.2016	+00.0910	0000.021
+01.2611	+00.0931	0000.022
+01.3221	+00.0946	0000.023
+01.3819	+00.0959	0000.024
+01.4415	+00.0971	0000.025
+01.5022	+00.0986	0000.026
+01.5617	+00.0995	0000.027
+01.6221	+00.1001	0000.028
+01.6816	+00.1014	0000.029
+01.7418	+00.1020	0000.030
+01.8025	+00.1029	0000.031
+01.8620	+00.1038	0000.032
+01.9224	+00.1041	0000.033
+01.9825	+00.1050	0000.034
+02.0427	+00.1059	0000.035
+02.1025	+00.1065	0000.036
+02.1623	+00.1075	0000.037
+02.2227	+00.1081	0000.038
+02.2828	+00.1090	0000.039
+02.3426	+00.1093	0000.040
+02.4034	+00.1099	0000.041
+02.4626	+00.1108	0000.042
+02.5233	+00.1114	0000.043
+02.5834	+00.1123	0000.044
+02.6429	+00.1130	0000.045
+02.7034	+00.1136	0000.046
+02.7638	+00.1142	0000.047
+02.8239	+00.1148	0000.048
+02.8840	+00.1157	0000.049
+02.9438	+00.1160	0000.050
+03.0040	+00.1169	0000.051
+02.9444	+00.1169	0000.052
+02.8840	+00.1166	0000.053
+02.8239	+00.1163	0000.054
+02.7638	+00.1166	0000.055
+02.7040	+00.1157	0000.056
+02.6432	+00.1160	0000.057
+02.5834	+00.1157	0000.058
+02.5236	+00.1157	0000.059
+02.4632	+00.1157	0000.060
+02.4028	+00.1151	0000.061
+02.3436	+00.1148	0000.062
+02.2828	+00.1145	0000.063
+02.2233	+00.1154	0000.064
+02.1632	+00.1136	0000.065
+02.1031	+00.1139	0000.066
+02.0424	+00.1136	0000.067
+01.9828	+00.1133	0000.068
+01.9227	+00.1130	0000.069
+01.8629	+00.1126	0000.070
+01.8028	+00.1123	0000.071
+01.7424	+00.1114	0000.072
+01.6819	+00.1111	0000.073
+01.6218	+00.1114	0000.074
+01.5623	+00.1108	0000.075
+01.5016	+00.1105	0000.076
+01.4418	+00.1102	0000.077
+01.3816	+00.1093	0000.078
+01.3218	+00.1093	0000.079
+01.2617	+00.1087	0000.080
+01.2010	+00.1084	0000.081
+01.1415	+00.1075	0000.082
+01.0820	+00.1072	0000.083
+01.0212	+00.1065	0000.084
+00.9611	+00.1059	0000.085
+00.9007	+00.1050	0000.086
+00.8409	+00.1047	0000.087
+00.7811	+00.1038	0000.088
+00.7209	+00.1029	0000.089
+00.6608	+00.1023	0000.090
+00.6004	+00.1010	0000.091
+00.5406	+00.1001	0000.092
+00.4805	+00.0983	0000.093
+00.4210	+00.0968	0000.094
+00.3602	+00.0953	0000.095
+00.3001	+00.0925	0000.096
+00.2403	+00.0895	0000.097
+00.1802	+00.0861	0000.098
+00.1200	+00.0821	0000.099
