R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0002	-00.0009	0000.000
+00.0001	-00.0006	0000.001
-00.0600	-00.0012	0000.002
-00.1201	-00.0018	0000.003
-00.1802	-00.0036	0000.004
-00.2401	-00.0073	0000.005
-00.3005	-00.0131	0000.006
-00.3606	-00.0250	0000.007
-00.4210	-00.0488	0000.008
-00.4808	-00.0955	0000.009
-00.5404	-00.1825	0000.010
-00.6005	-00.3469	0000.011
-00.6606	-00.5166	0000.012
-00.7210	-00.5993	0000.013
-00.7811	-00.6268	0000.014
-00.8413	-00.6460	0000.015
-00.9014	-00.6616	0000.016
-00.9606	-00.6726	0000.017
-01.0219	-00.6845	0000.018
-01.0814	-00.6976	0000.019
-01.1415	-00.7080	0000.020
-01.2017	-00.7113	0000.021
-01.2618	-00.7159	0000.022
-01.3222	-00.7190	0000.023
-01.3814	-00.7205	0000.024
-01.4425	-00.7223	0000.025
-01.5026	-00.7226	0000.026
-01.5624	-00.7232	0000.027
-01.6225	-00.7241	0000.028
-01.6820	-00.7245	0000.029
-01.7421	-00.7254	0000.030
-01.8035	-00.7260	0000.031
-01.8624	-00.7263	0000.032
-01.9225	-00.7269	0000.033
-01.9829	-00.7275	0000.034
-02.0430	-00.7284	0000.035
-02.1032	-00.7287	0000.036
-02.1636	-00.7293	0000.037
-02.2234	-00.7302	0000.038
-02.2832	-00.7302	0000.039
-02.3430	-00.7312	0000.040
-02.4038	-00.7315	0000.041
-02.4633	-00.7321	0000.042
-02.5237	-00.7324	0000.043
-02.5832	-00.7333	0000.044
-02.6439	-00.7327	0000.045
-02.7034	-00.7336	0000.046
-02.7636	-00.7342	0000.047
-02.8243	-00.7342	0000.048
-02.8844	-00.7345	0000.049
-02.9439	-00.7348	0000.050
-03.0050	-00.7354	0000.051
-02.9445	-00.7351	0000.052
-02.8847	-00.7351	0000.053
-02.8246	-00.7345	0000.054
-02.7642	-00.7342	0000.055
-02.7040	-00.7345	0000.056
-02.6439	-00.7345	0000.057
-02.5841	-00.7336	0000.058
-02.5240	-00.7336	0000.059
-02.4639	-00.7333	0000.060
-02.4038	-00.7330	0000.061
-02.3436	-00.7327	0000.062
-02.2829	-00.7324	0000.063
-02.2234	-00.7324	0000.064
-02.1633	-00.7318	0000.065
-02.1032	-00.7315	0000.066
-02.0440	-00.7312	0000.067
-01.9835	-00.7309	0000.068
-01.9228	-00.7306	0000.069
-01.8630	-00.7309	0000.070
-01.8026	-00.7302	0000.071
-01.7431	-00.7299	0000.072
-01.6823	-00.7299	0000.073
-01.6231	-00.7296	0000.074
-01.5624	-00.7293	0000.075
-01.5023	-00.7290	0000.076
-01.4425	-00.7290	0000.077
-01.3823	-00.7278	0000.078
-01.3219	-00.7275	0000.079
-01.2618	-00.7278	0000.080
-01.2020	-00.7269	0000.081
-01.1419	-00.7269	0000.082
-01.0817	-00.7266	0000.083
-01.0219	-00.7260	0000.084
-00.9615	-00.7254	0000.085
-00.9014	-00.7254	0000.086
-00.8416	-00.7251	0000.087
-00.7817	-00.7245	0000.088
-00.7219	-00.7241	0000.089
-00.6609	-00.7238	0000.090
-00.6011	-00.7235	0000.091
-00.5413	-00.7229	0000.092
-00.4808	-00.7226	0000.093
-00.4213	-00.7223	0000.094
-00.3606	-00.7214	0000.095
-00.3008	-00.7211	0000.096
-00.2404	-00.7211	0000.097
-00.1806	-00.7199	0000.098
-00.1207	-00.7199	0000.099
