R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0002	-00.0009	0000.000
-00.0005	-00.0006	0000.001
+00.0099	-00.0006	0000.002
+00.0206	-00.0006	0000.003
+00.0319	-00.0009	0000.004
+00.0422	-00.0006	0000.005
+00.0526	-00.0012	0000.006
+00.0639	-00.0009	0000.007
+00.0740	-00.0003	0000.008
+00.0850	-00.0003	0000.009
+00.0959	-00.0003	0000.010
+00.1063	+00.0000	0000.011
+00.1170	-00.0003	0000.012
+00.1277	-00.0003	0000.013
+00.1384	+00.0000	0000.014
+00.1490	-00.0003	0000.015
+00.1600	-00.0003	0000.016
+00.1704	-00.0003	0000.017
+00.1814	-00.0003	0000.018
+00.1918	+00.0000	0000.019
+00.2028	+00.0000	0000.020
+00.2134	-00.0003	0000.021
+00.2238	+00.0006	0000.022
+00.2342	-00.0003	0000.023
+00.2446	+00.0003	0000.024
+00.2559	+00.0006	0000.025
+00.2668	+00.0006	0000.026
+00.2772	+00.0010	0000.027
+00.2879	+00.0006	0000.028
+00.2989	+00.0006	0000.029
+00.3093	+00.0010	0000.030
+00.3199	+00.0010	0000.031
+00.3306	+00.0006	0000.032
+00.3416	+00.0006	0000.033
+00.3520	+00.0010	0000.034
+00.3627	+00.0016	0000.035
+00.3736	+00.0010	0000.036
+00.3840	+00.0013	0000.037
+00.3953	+00.0016	0000.038
+00.4054	+00.0016	0000.039
+00.4164	+00.0019	0000.040
+00.4271	+00.0019	0000.041
+00.4377	+00.0016	0000.042
+00.4481	+00.0019	0000.043
+00.4588	+00.0019	0000.044
+00.4692	+00.0025	0000.045
+00.4799	+00.0022	0000.046
+00.4908	+00.0028	0000.047
+00.5012	+00.0025	0000.048
+00.5122	+00.0028	0000.049
+00.5229	+00.0028	0000.050
+00.5339	+00.0031	0000.051
+00.5442	+00.0031	0000.052
+00.5549	+00.0034	0000.053
+00.5656	+00.0034	0000.054
+00.5763	+00.0034	0000.055
+00.5870	+00.0034	0000.056
+00.5973	+00.0037	0000.057
+00.6083	+00.0034	0000.058
+00.6193	+00.0043	0000.059
+00.6297	+00.0037	0000.060
+00.6410	+00.0043	0000.061
+00.6511	+00.0043	0000.062
+00.6620	+00.0046	0000.063
+00.6724	+00.0049	0000.064
+00.6828	+00.0052	0000.065
+00.6938	+00.0055	0000.066
+00.7042	+00.0058	0000.067
+00.7151	+00.0055	0000.068
+00.7258	+00.0061	0000.069
+00.7371	+00.0064	0000.070
+00.7472	+00.0064	0000.071
+00.7576	+00.0074	0000.072
+00.7682	+00.0077	0000.073
+00.7795	+00.0086	0000.074
+00.7905	+00.0092	0000.075
+00.8009	+00.0095	0000.076
+00.8113	+00.0113	0000.077
+00.8220	+00.0211	0000.078
+00.8326	+00.0318	0000.079
+00.8436	+00.0397	0000.080
+00.8543	+00.0980	0000.081
+00.8650	+00.2921	0000.082
+00.8757	+00.3495	0000.083
+00.8866	+00.5826	0000.084
+00.8964	+00.6089	0000.085
+00.9077	+00.6214	0000.086
+00.9181	+00.6296	0000.087
+00.9288	+00.6360	0000.088
+00.9391	+00.6400	0000.089
+00.9501	+00.6449	0000.090
+00.9611	+00.6485	0000.091
+00.9715	+00.6516	0000.092
+00.9822	+00.6540	0000.093
+00.9929	+00.6574	0000.094
+01.0035	+00.6589	0000.095
+01.0142	+00.6610	0000.096
+01.0252	+00.6632	0000.097
+01.0356	+00.6656	0000.098
+01.0463	+00.6879	0000.099
+01.0575	+00.6949	0000.100
+01.0676	+00.6977	0000.101
+01.0786	+00.7001	0000.102
+01.0893	+00.7019	0000.103
+01.1003	+00.7032	0000.104
+01.1110	+00.7050	0000.105
+01.1207	+00.7065	0000.106
+01.1314	+00.7077	0000.107
+01.1424	+00.7087	0000.108
+01.1531	+00.7099	0000.109
+01.1641	+00.7111	0000.110
+01.1741	+00.7120	0000.111
+01.1851	+00.7132	0000.112
+01.1958	+00.7141	0000.113
+01.2068	+00.7148	0000.114
+01.2175	+00.7154	0000.115
+01.2278	+00.7166	0000.116
+01.2388	+00.7172	0000.117
