R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
+00.0004	-00.0009	0000.000
-00.0002	-00.0009	0000.001
+00.0087	-00.0009	0000.002
+00.0175	-00.0003	0000.003
+00.0273	+00.0000	0000.004
+00.0355	-00.0003	0000.005
+00.0447	+00.0000	0000.006
+00.0532	+00.0003	0000.007
+00.0630	+00.0006	0000.008
+00.0715	+00.0010	0000.009
+00.0810	+00.0013	0000.010
+00.0895	+00.0016	0000.011
+00.0987	+00.0019	0000.012
+00.1075	+00.0022	0000.013
+00.1170	+00.0028	0000.014
+00.1255	+00.0031	0000.015
+00.1344	+00.0037	0000.016
+00.1442	+00.0043	0000.017
+00.1533	+00.0046	0000.018
+00.1616	+00.0052	0000.019
+00.1713	+00.0055	0000.020
+00.1796	+00.0061	0000.021
+00.1890	+00.0071	0000.022
+00.1976	+00.0077	0000.023
+00.2067	+00.0086	0000.024
+00.2162	+00.0092	0000.025
+00.2250	+00.0101	0000.026
+00.2342	+00.0110	0000.027
+00.2433	+00.0119	0000.028
+00.2519	+00.0125	0000.029
+00.2613	+00.0141	0000.030
+00.2696	+00.0144	0000.031
+00.2793	+00.0153	0000.032
+00.2882	+00.0165	0000.033
+00.2970	+00.0174	0000.034
+00.3059	+00.0183	0000.035
+00.3154	+00.0196	0000.036
+00.3239	+00.0205	0000.037
+00.3334	+00.0217	0000.038
+00.3416	+00.0229	0000.039
+00.3517	+00.0248	0000.040
+00.3605	+00.0251	0000.041
+00.3697	+00.0263	0000.042
+00.3782	+00.0278	0000.043
+00.3874	+00.0290	0000.044
+00.3962	+00.0302	0000.045
+00.4054	+00.0315	0000.046
+00.4142	+00.0324	0000.047
+00.4231	+00.0336	0000.048
+00.4322	+00.0351	0000.049
+00.4414	+00.0367	0000.050
+00.4499	+00.0379	0000.051
+00.4594	+00.0388	0000.052
+00.4679	+00.0400	0000.053
+00.4771	+00.0418	0000.054
+00.4863	+00.0431	0000.055
+00.4954	+00.0446	0000.056
+00.5046	+00.0458	0000.057
+00.5134	+00.0473	0000.058
+00.5223	+00.0486	0000.059
+00.5314	+00.0501	0000.060
+00.5403	+00.0513	0000.061
+00.5497	+00.0525	0000.062
+00.5586	+00.0544	0000.063
+00.5674	+00.0553	0000.064
+00.5763	+00.0574	0000.065
+00.5854	+00.0586	0000.066
+00.5943	+00.0595	0000.067
+00.6031	+00.0614	0000.068
+00.6123	+00.0632	0000.069
+00.6211	+00.0641	0000.070
+00.6297	+00.0650	0000.071
+00.6392	+00.0669	0000.072
+00.6483	+00.0684	0000.073
+00.6575	+00.0699	0000.074
+00.6666	+00.0714	0000.075
+00.6755	+00.0730	0000.076
+00.6846	+00.0742	0000.077
+00.6938	+00.0757	0000.078
+00.7023	+00.0776	0000.079
+00.7115	+00.0785	0000.080
+00.7206	+00.0800	0000.081
+00.7295	+00.0812	0000.082
+00.7389	+00.0827	0000.083
+00.7472	+00.0840	0000.084
+00.7566	+00.0858	0000.085
+00.7658	+00.0870	0000.086
+00.7746	+00.0882	0000.087
+00.7838	+00.0898	0000.088
+00.7927	+00.0913	0000.089
+00.8012	+00.0922	0000.090
+00.8107	+00.0937	0000.091
+00.8195	+00.0949	0000.092
+00.8287	+00.0965	0000.093
+00.8378	+00.0977	0000.094
+00.8461	+00.0992	0000.095
+00.8561	+00.0998	0000.096
+00.8653	+00.1017	0000.097
+00.8735	+00.1029	0000.098
+00.8833	+00.1038	0000.099
+00.8918	+00.1053	0000.100
+00.9010	+00.1065	0000.101
+00.9095	+00.1078	0000.102
+00.9193	+00.1093	0000.103
+00.9282	+00.1099	0000.104
+00.9370	+00.1111	0000.105
+00.9455	+00.1123	0000.106
+00.9553	+00.1136	0000.107
+00.9642	+00.1148	0000.108
+00.9733	+00.1157	0000.109
+00.9819	+00.1175	0000.110
+00.9910	+00.1181	0000.111
+01.0002	+00.1194	0000.112
+01.0093	+00.1203	0000.113
+01.0179	+00.1215	0000.114
+01.0273	+00.1227	0000.115
+01.0365	+00.1233	0000.116
+01.0453	+00.1245	0000.117
