R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0002	-00.0009	0000.000
-00.0005	-00.0006	0000.001
-00.0597	-00.0006	0000.002
-00.1201	-00.0009	0000.003
-00.1799	-00.0015	0000.004
-00.2407	-00.0012	0000.005
-00.3005	-00.0018	0000.006
-00.3603	-00.0021	0000.007
-00.4207	-00.0024	0000.008
-00.4805	-00.0024	0000.009
-00.5410	-00.0027	0000.010
-00.6014	-00.0030	0000.011
-00.6609	-00.0030	0000.012
-00.7210	-00.0039	0000.013
-00.7808	-00.0036	0000.014
-00.8410	-00.0036	0000.015
-00.9014	-00.0042	0000.016
-00.9615	-00.0042	0000.017
-01.0216	-00.0045	0000.018
-01.0814	-00.0045	0000.019
-01.1415	-00.0048	0000.020
-01.2020	-00.0055	0000.021
-01.2615	-00.0058	0000.022
-01.3222	-00.0064	0000.023
-01.3823	-00.0058	0000.024
-01.4421	-00.0064	0000.025
-01.5023	-00.0070	0000.026
-01.5621	-00.0067	0000.027
-01.6225	-00.0073	0000.028
-01.6823	-00.0073	0000.029
-01.7427	-00.0079	0000.030
-01.8029	-00.0082	0000.031
-01.8624	-00.0082	0000.032
-01.9231	-00.0085	0000.033
-01.9832	-00.0091	0000.034
-02.0433	-00.0094	0000.035
-02.1035	-00.0094	0000.036
-02.1633	-00.0100	0000.037
-02.2234	-00.0100	0000.038
-02.2835	-00.0103	0000.039
-02.3439	-00.0106	0000.040
-02.4038	-00.0109	0000.041
-02.4636	-00.0116	0000.042
-02.5240	-00.0113	0000.043
-02.5838	-00.0119	0000.044
-02.6433	-00.0122	0000.045
-02.7034	-00.0122	0000.046
-02.7636	-00.0128	0000.047
-02.8240	-00.0131	0000.048
-02.8838	-00.0134	0000.049
-02.9439	-00.0137	0000.050
-03.0043	-00.0140	0000.051
-02.9451	-00.0140	0000.052
-02.8847	-00.0137	0000.053
-02.8246	-00.0137	0000.054
-02.7645	-00.0134	0000.055
-02.7040	-00.0134	0000.056
-02.6442	-00.0134	0000.057
-02.5838	-00.0128	0000.058
-02.5240	-00.0128	0000.059
-02.4645	-00.0125	0000.060
-02.4035	-00.0125	0000.061
-02.3433	-00.0119	0000.062
-02.2835	-00.0122	0000.063
-02.2237	-00.0119	0000.064
-02.1633	-00.0119	0000.065
-02.1032	-00.0113	0000.066
-02.0430	-00.0116	0000.067
-01.9832	-00.0113	0000.068
-01.9234	-00.0106	0000.069
-01.8627	-00.0113	0000.070
-01.8032	-00.0103	0000.071
-01.7427	-00.0109	0000.072
-01.6829	-00.0097	0000.073
-01.6231	-00.0097	0000.074
-01.5627	-00.0097	0000.075
-01.5023	-00.0094	0000.076
-01.4428	-00.0088	0000.077
-01.3823	-00.0091	0000.078
-01.3222	-00.0091	0000.079
-01.2624	-00.0088	0000.080
-01.2020	-00.0082	0000.081
-01.1419	-00.0085	0000.082
-01.0820	-00.0079	0000.083
-01.0222	-00.0079	0000.084
-00.9615	-00.0076	0000.085
-00.9017	-00.0073	0000.086
-00.8416	-00.0064	0000.087
-00.7814	-00.0070	0000.088
-00.7216	-00.0061	0000.089
-00.6612	-00.0064	0000.090
-00.6014	-00.0058	0000.091
-00.5413	-00.0055	0000.092
-00.4805	-00.0055	0000.093
-00.4210	-00.0048	0000.094
-00.3612	-00.0045	0000.095
-00.3005	-00.0045	0000.096
-00.2410	-00.0042	0000.097
-00.1809	-00.0042	0000.098
-00.1204	-00.0033	0000.099
