R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0005	-00.0006	0000.000
-00.0002	-00.0006	0000.001
-00.0808	-00.0015	0000.002
-00.1604	-00.0021	0000.003
-00.2404	-00.0033	0000.004
-00.3203	-00.0058	0000.005
-00.4006	-00.0100	0000.006
-00.4805	-00.0189	0000.007
-00.5611	-00.0427	0000.008
-00.6411	-00.1217	0000.009
-00.7210	-00.5600	0000.010
-00.8016	-00.6295	0000.011
-00.8809	-00.6524	0000.012
-00.9612	-00.6848	0000.013
-01.0415	-00.6942	0000.014
-01.1208	-00.7019	0000.015
-01.2017	-00.7080	0000.016
-01.2816	-00.7132	0000.017
-01.3622	-00.7174	0000.018
-01.4421	-00.7211	0000.019
-01.5221	-00.7245	0000.020
-01.6024	-00.7281	0000.021
-01.6823	-00.7306	0000.022
-01.7629	-00.7339	0000.023
-01.8428	-00.7354	0000.024
-01.9225	-00.7376	0000.025
-02.0034	-00.7403	0000.026
-02.0827	-00.7425	0000.027
-02.1633	-00.7449	0000.028
-02.2429	-00.7461	0000.029
-02.3235	-00.7479	0000.030
-02.4041	-00.7495	0000.031
-02.4837	-00.7510	0000.032
-02.5640	-00.7525	0000.033
-02.6439	-00.7528	0000.034
-02.7239	-00.7541	0000.035
-02.8035	-00.7550	0000.036
-02.8841	-00.7562	0000.037
-02.9647	-00.7568	0000.038
-03.0449	-00.7577	0000.039
-03.1249	-00.7583	0000.040
-03.2048	-00.7592	0000.041
-03.2845	-00.7605	0000.042
-03.3654	-00.7611	0000.043
-03.4450	-00.7614	0000.044
-03.5250	-00.7617	0000.045
-03.6055	-00.7626	0000.046
-03.6855	-00.7632	0000.047
-03.7651	-00.7635	0000.048
-03.8454	-00.7644	0000.049
-03.9254	-00.7647	0000.050
-04.0062	-00.7650	0000.051
-03.9266	-00.7650	0000.052
-03.8460	-00.7647	0000.053
-03.7664	-00.7641	0000.054
-03.6861	-00.7644	0000.055
-03.6058	-00.7641	0000.056
-03.5253	-00.7638	0000.057
-03.4456	-00.7635	0000.058
-03.3644	-00.7635	0000.059
-03.2848	-00.7629	0000.060
-03.2048	-00.7626	0000.061
-03.1246	-00.7626	0000.062
-03.0446	-00.7617	0000.063
-02.9647	-00.7617	0000.064
-02.8847	-00.7620	0000.065
-02.8041	-00.7614	0000.066
-02.7239	-00.7608	0000.067
-02.6442	-00.7608	0000.068
-02.5643	-00.7605	0000.069
-02.4840	-00.7595	0000.070
-02.4041	-00.7595	0000.071
-02.3244	-00.7589	0000.072
-02.2432	-00.7592	0000.073
-02.1639	-00.7580	0000.074
-02.0830	-00.7583	0000.075
-02.0031	-00.7577	0000.076
-01.9234	-00.7571	0000.077
-01.8435	-00.7574	0000.078
-01.7626	-00.7568	0000.079
-01.6826	-00.7562	0000.080
-01.6033	-00.7562	0000.081
-01.5224	-00.7556	0000.082
-01.4425	-00.7556	0000.083
-01.3625	-00.7547	0000.084
-01.2819	-00.7541	0000.085
-01.2023	-00.7534	0000.086
-01.1217	-00.7534	0000.087
-01.0418	-00.7525	0000.088
-00.9618	-00.7522	0000.089
-00.8812	-00.7519	0000.090
-00.8013	-00.7513	0000.091
-00.7213	-00.7507	0000.092
-00.6411	-00.7510	0000.093
-00.5608	-00.7495	0000.094
-00.4811	-00.7492	0000.095
-00.4009	-00.7486	0000.096
-00.3206	-00.7479	0000.097
-00.2407	-00.7467	0000.098
-00.1607	-00.7467	0000.099
