R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0002	-00.0009	0000.000
+00.0001	-00.0009	0000.001
+00.0151	-00.0012	0000.002
+00.0294	-00.0006	0000.003
+00.0450	-00.0006	0000.004
+00.0596	-00.0009	0000.005
+00.0749	+00.0000	0000.006
+00.0892	-00.0003	0000.007
+00.1048	+00.0010	0000.008
+00.1200	+00.0000	0000.009
+00.1350	+00.0003	0000.010
+00.1503	+00.0010	0000.011
+00.1649	+00.0013	0000.012
+00.1796	+00.0016	0000.013
+00.1945	+00.0016	0000.014
+00.2101	+00.0022	0000.015
+00.2250	+00.0028	0000.016
+00.2397	+00.0034	0000.017
+00.2552	+00.0037	0000.018
+00.2699	+00.0043	0000.019
+00.2851	+00.0046	0000.020
+00.3004	+00.0052	0000.021
+00.3151	+00.0058	0000.022
+00.3306	+00.0064	0000.023
+00.3450	+00.0074	0000.024
+00.3602	+00.0080	0000.025
+00.3749	+00.0086	0000.026
+00.3904	+00.0095	0000.027
+00.4054	+00.0101	0000.028
+00.4200	+00.0107	0000.029
+00.4353	+00.0119	0000.030
+00.4502	+00.0129	0000.031
+00.4655	+00.0135	0000.032
+00.4802	+00.0147	0000.033
+00.4948	+00.0150	0000.034
+00.5104	+00.0165	0000.035
+00.5250	+00.0168	0000.036
+00.5409	+00.0180	0000.037
+00.5552	+00.0187	0000.038
+00.5708	+00.0199	0000.039
+00.5854	+00.0205	0000.040
+00.6010	+00.0208	0000.041
+00.6157	+00.0223	0000.042
+00.6303	+00.0232	0000.043
+00.6459	+00.0241	0000.044
+00.6605	+00.0251	0000.045
+00.6755	+00.0254	0000.046
+00.6904	+00.0266	0000.047
+00.7060	+00.0272	0000.048
+00.7206	+00.0272	0000.049
+00.7356	+00.0281	0000.050
+00.7508	+00.0290	0000.051
+00.7658	+00.0290	0000.052
+00.7804	+00.0299	0000.053
+00.7954	+00.0302	0000.054
+00.8107	+00.0312	0000.055
+00.8259	+00.0312	0000.056
+00.8409	+00.0321	0000.057
+00.8552	+00.0327	0000.058
+00.8708	+00.0327	0000.059
+00.8857	+00.0333	0000.060
+00.9010	+00.0339	0000.061
+00.9163	+00.0339	0000.062
+00.9303	+00.0342	0000.063
+00.9459	+00.0342	0000.064
+00.9611	+00.0348	0000.065
+00.9761	+00.0351	0000.066
+00.9907	+00.0354	0000.067
+01.0063	+00.0357	0000.068
+01.0215	+00.0360	0000.069
+01.0362	+00.0367	0000.070
+01.0508	+00.0367	0000.071
+01.0658	+00.0373	0000.072
+01.0807	+00.0376	0000.073
+01.0957	+00.0376	0000.074
+01.1113	+00.0379	0000.075
+01.1259	+00.0379	0000.076
+01.1415	+00.0382	0000.077
+01.1564	+00.0382	0000.078
+01.1708	+00.0388	0000.079
+01.1860	+00.0385	0000.080
+01.2016	+00.0394	0000.081
+01.2159	+00.0394	0000.082
+01.2312	+00.0397	0000.083
+01.2465	+00.0397	0000.084
+01.2617	+00.0394	0000.085
+01.2764	+00.0400	0000.086
+01.2913	+00.0403	0000.087
+01.3063	+00.0400	0000.088
+01.3218	+00.0406	0000.089
+01.3359	+00.0403	0000.090
+01.3514	+00.0409	0000.091
+01.3664	+00.0409	0000.092
+01.3813	+00.0418	0000.093
+01.3966	+00.0415	0000.094
+01.4112	+00.0412	0000.095
+01.4265	+00.0422	0000.096
+01.4415	+00.0418	0000.097
+01.4564	+00.0422	0000.098
+01.4720	+00.0418	0000.099
+01.4863	+00.0422	0000.100
+01.5019	+00.0422	0000.101
+01.5162	+00.0428	0000.102
+01.5315	+00.0428	0000.103
+01.5464	+00.0431	0000.104
+01.5620	+00.0434	0000.105
+01.5770	+00.0431	0000.106
+01.5916	+00.0437	0000.107
+01.6066	+00.0443	0000.108
+01.6221	+00.0440	0000.109
+01.6371	+00.0440	0000.110
+01.6520	+00.0443	0000.111
+01.6664	+00.0443	0000.112
+01.6816	+00.0446	0000.113
+01.6969	+00.0443	0000.114
+01.7121	+00.0446	0000.115
+01.7268	+00.0446	0000.116
+01.7421	+00.0452	0000.117
