R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
+00.0001	-00.0006	0000.000
+00.0001	-00.0012	0000.001
-00.0179	-00.0009	0000.002
-00.0356	-00.0015	0000.003
-00.0536	-00.0021	0000.004
-00.0716	-00.0030	0000.005
-00.0899	-00.0039	0000.006
-00.1079	-00.0039	0000.007
-00.1265	-00.0055	0000.008
-00.1439	-00.0067	0000.009
-00.1619	-00.0082	0000.010
-00.1802	-00.0094	0000.011
-00.1979	-00.0119	0000.012
-00.2163	-00.0140	0000.013
-00.2340	-00.0164	0000.014
-00.2520	-00.0186	0000.015
-00.2703	-00.0213	0000.016
-00.2880	-00.0241	0000.017
-00.3066	-00.0268	0000.018
-00.3243	-00.0308	0000.019
-00.3420	-00.0335	0000.020
-00.3603	-00.0372	0000.021
-00.3783	-00.0406	0000.022
-00.3963	-00.0442	0000.023
-00.4143	-00.0482	0000.024
-00.4323	-00.0521	0000.025
-00.4506	-00.0561	0000.026
-00.4686	-00.0601	0000.027
-00.4863	-00.0644	0000.028
-00.5040	-00.0683	0000.029
-00.5227	-00.0732	0000.030
-00.5410	-00.0778	0000.031
-00.5584	-00.0824	0000.032
-00.5764	-00.0863	0000.033
-00.5950	-00.0906	0000.034
-00.6124	-00.0961	0000.035
-00.6307	-00.1004	0000.036
-00.6487	-00.1056	0000.037
-00.6667	-00.1101	0000.038
-00.6850	-00.1144	0000.039
-00.7030	-00.1193	0000.040
-00.7207	-00.1236	0000.041
-00.7387	-00.1284	0000.042
-00.7570	-00.1330	0000.043
-00.7753	-00.1382	0000.044
-00.7933	-00.1431	0000.045
-00.8107	-00.1477	0000.046
-00.8287	-00.1516	0000.047
-00.8471	-00.1574	0000.048
-00.8651	-00.1617	0000.049
-00.8831	-00.1663	0000.050
-00.9011	-00.1706	0000.051
-00.9191	-00.1748	0000.052
-00.9371	-00.1797	0000.053
-00.9551	-00.1846	0000.054
-00.9728	-00.1889	0000.055
-00.9911	-00.1925	0000.056
-01.0088	-00.1974	0000.057
-01.0274	-00.2017	0000.058
-01.0454	-00.2063	0000.059
-01.0631	-00.2102	0000.060
-01.0811	-00.2145	0000.061
-01.0994	-00.2191	0000.062
-01.1171	-00.2230	0000.063
-01.1354	-00.2267	0000.064
-01.1528	-00.2310	0000.065
-01.1712	-00.2346	0000.066
-01.1889	-00.2386	0000.067
-01.2072	-00.2420	0000.068
-01.2255	-00.2462	0000.069
-01.2435	-00.2499	0000.070
-01.2609	-00.2539	0000.071
-01.2795	-00.2572	0000.072
-01.2972	-00.2609	0000.073
-01.3152	-00.2639	0000.074
-01.3335	-00.2673	0000.075
-01.3515	-00.2713	0000.076
-01.3695	-00.2743	0000.077
-01.3872	-00.2780	0000.078
-01.4052	-00.2807	0000.079
-01.4232	-00.2841	0000.080
-01.4415	-00.2871	0000.081
-01.4595	-00.2905	0000.082
-01.4775	-00.2929	0000.083
-01.4956	-00.2966	0000.084
-01.5142	-00.2987	0000.085
-01.5319	-00.3021	0000.086
-01.5502	-00.3051	0000.087
-01.5679	-00.3076	0000.088
-01.5859	-00.3103	0000.089
-01.6042	-00.3131	0000.090
-01.6222	-00.3158	0000.091
-01.6399	-00.3189	0000.092
-01.6582	-00.3210	0000.093
-01.6762	-00.3234	0000.094
-01.6942	-00.3259	0000.095
-01.7119	-00.3286	0000.096
-01.7305	-00.3305	0000.097
-01.7476	-00.3332	0000.098
-01.7665	-00.3360	0000.099
-01.7836	-00.3378	0000.100
-01.8023	-00.3399	0000.101
-01.8203	-00.3421	0000.102
-01.8386	-00.3442	0000.103
-01.8566	-00.3466	0000.104
-01.8743	-00.3485	0000.105
-01.8923	-00.3506	0000.106
-01.9106	-00.3527	0000.107
-01.9286	-00.3543	0000.108
-01.9469	-00.3567	0000.109
-01.9646	-00.3585	0000.110
-01.9826	-00.3604	0000.111
-02.0012	-00.3622	0000.112
-02.0186	-00.3643	0000.113
-02.0366	-00.3659	0000.114
-02.0549	-00.3677	0000.115
-02.0720	-00.3695	0000.116
-02.0913	-00.3708	0000.117
