R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0005	-00.0006	0000.000
+00.0001	-00.0006	0000.001
-00.0103	-00.0006	0000.002
-00.0216	-00.0009	0000.003
-00.0319	-00.0009	0000.004
-00.0426	-00.0009	0000.005
-00.0533	-00.0009	0000.006
-00.0640	-00.0006	0000.007
-00.0743	-00.0009	0000.008
-00.0853	-00.0012	0000.009
-00.0963	-00.0015	0000.010
-00.1067	-00.0015	0000.011
-00.1180	-00.0009	0000.012
-00.1284	-00.0015	0000.013
-00.1394	-00.0012	0000.014
-00.1494	-00.0015	0000.015
-00.1604	-00.0018	0000.016
-00.1711	-00.0018	0000.017
-00.1815	-00.0018	0000.018
-00.1925	-00.0024	0000.019
-00.2031	-00.0021	0000.020
-00.2138	-00.0024	0000.021
-00.2242	-00.0027	0000.022
-00.2355	-00.0024	0000.023
-00.2456	-00.0033	0000.024
-00.2562	-00.0030	0000.025
-00.2666	-00.0033	0000.026
-00.2779	-00.0036	0000.027
-00.2889	-00.0042	0000.028
-00.2996	-00.0042	0000.029
-00.3096	-00.0045	0000.030
-00.3206	-00.0048	0000.031
-00.3307	-00.0048	0000.032
-00.3420	-00.0055	0000.033
-00.3527	-00.0058	0000.034
-00.3634	-00.0061	0000.035
-00.3737	-00.0067	0000.036
-00.3847	-00.0070	0000.037
-00.3951	-00.0076	0000.038
-00.4061	-00.0079	0000.039
-00.4168	-00.0082	0000.040
-00.4271	-00.0088	0000.041
-00.4378	-00.0097	0000.042
-00.4488	-00.0106	0000.043
-00.4592	-00.0122	0000.044
-00.4699	-00.0137	0000.045
-00.4805	-00.0146	0000.046
-00.4909	-00.0152	0000.047
-00.5022	-00.0174	0000.048
-00.5129	-00.0183	0000.049
-00.5230	-00.0204	0000.050
-00.5339	-00.0219	0000.051
-00.5446	-00.0244	0000.052
-00.5553	-00.0268	0000.053
-00.5660	-00.0286	0000.054
-00.5767	-00.0320	0000.055
-00.5877	-00.0351	0000.056
-00.5986	-00.0406	0000.057
-00.6087	-00.0494	0000.058
-00.6200	-00.0586	0000.059
-00.6307	-00.0720	0000.060
-00.6411	-00.0879	0000.061
-00.6517	-00.1083	0000.062
-00.6624	-00.1477	0000.063
-00.6734	-00.1873	0000.064
-00.6835	-00.2356	0000.065
-00.6942	-00.2700	0000.066
-00.7051	-00.2996	0000.067
-00.7158	-00.3244	0000.068
-00.7268	-00.3415	0000.069
-00.7366	-00.5279	0000.070
-00.7479	-00.6112	0000.071
-00.7586	-00.6198	0000.072
-00.7689	-00.6271	0000.073
-00.7796	-00.6326	0000.074
-00.7900	-00.6375	0000.075
-00.8010	-00.6430	0000.076
-00.8120	-00.6509	0000.077
-00.8226	-00.6543	0000.078
-00.8333	-00.6570	0000.079
-00.8443	-00.6588	0000.080
-00.8544	-00.6610	0000.081
-00.8654	-00.6625	0000.082
-00.8757	-00.6643	0000.083
-00.8870	-00.6668	0000.084
-00.8971	-00.6677	0000.085
-00.9078	-00.6704	0000.086
-00.9188	-00.6900	0000.087
-00.9291	-00.6933	0000.088
-00.9398	-00.6955	0000.089
-00.9505	-00.6967	0000.090
-00.9615	-00.6979	0000.091
-00.9725	-00.6994	0000.092
-00.9826	-00.7010	0000.093
-00.9938	-00.7022	0000.094
-01.0045	-00.7031	0000.095
-01.0146	-00.7043	0000.096
-01.0256	-00.7058	0000.097
-01.0366	-00.7068	0000.098
-01.0466	-00.7083	0000.099
-01.0579	-00.7092	0000.100
-01.0680	-00.7107	0000.101
-01.0793	-00.7110	0000.102
-01.0894	-00.7119	0000.103
-01.1000	-00.7132	0000.104
-01.1110	-00.7138	0000.105
-01.1217	-00.7147	0000.106
-01.1321	-00.7153	0000.107
-01.1428	-00.7165	0000.108
-01.1541	-00.7174	0000.109
-01.1644	-00.7180	0000.110
-01.1751	-00.7187	0000.111
-01.1852	-00.7193	0000.112
-01.1959	-00.7202	0000.113
-01.2069	-00.7208	0000.114
-01.2178	-00.7214	0000.115
-01.2282	-00.7220	0000.116
-01.2392	-00.7229	0000.117
