R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0002	-00.0009	0000.000
-00.0005	-00.0006	0000.001
+00.0200	-00.0012	0000.002
+00.0398	-00.0003	0000.003
+00.0593	-00.0006	0000.004
+00.0801	-00.0003	0000.005
+00.0999	-00.0006	0000.006
+00.1200	+00.0003	0000.007
+00.1396	+00.0003	0000.008
+00.1597	+00.0003	0000.009
+00.1796	+00.0010	0000.010
+00.1994	+00.0013	0000.011
+00.2198	+00.0016	0000.012
+00.2394	+00.0019	0000.013
+00.2598	+00.0019	0000.014
+00.2797	+00.0022	0000.015
+00.2998	+00.0028	0000.016
+00.3196	+00.0028	0000.017
+00.3404	+00.0040	0000.018
+00.3602	+00.0043	0000.019
+00.3804	+00.0046	0000.020
+00.3996	+00.0052	0000.021
+00.4206	+00.0058	0000.022
+00.4402	+00.0061	0000.023
+00.4600	+00.0071	0000.024
+00.4802	+00.0071	0000.025
+00.5000	+00.0080	0000.026
+00.5204	+00.0086	0000.027
+00.5406	+00.0092	0000.028
+00.5598	+00.0098	0000.029
+00.5806	+00.0104	0000.030
+00.6004	+00.0107	0000.031
+00.6205	+00.0119	0000.032
+00.6404	+00.0119	0000.033
+00.6608	+00.0129	0000.034
+00.6804	+00.0132	0000.035
+00.7005	+00.0144	0000.036
+00.7206	+00.0147	0000.037
+00.7405	+00.0156	0000.038
+00.7609	+00.0162	0000.039
+00.7811	+00.0165	0000.040
+00.8009	+00.0174	0000.041
+00.8207	+00.0180	0000.042
+00.8409	+00.0180	0000.043
+00.8604	+00.0187	0000.044
+00.8805	+00.0190	0000.045
+00.9013	+00.0202	0000.046
+00.9208	+00.0202	0000.047
+00.9413	+00.0205	0000.048
+00.9611	+00.0211	0000.049
+00.9806	+00.0211	0000.050
+01.0011	+00.0217	0000.051
+01.0209	+00.0223	0000.052
+01.0408	+00.0226	0000.053
+01.0612	+00.0229	0000.054
+01.0807	+00.0235	0000.055
+01.1012	+00.0232	0000.056
+01.1210	+00.0238	0000.057
+01.1415	+00.0241	0000.058
+01.1613	+00.0245	0000.059
+01.1811	+00.0248	0000.060
+01.2016	+00.0248	0000.061
+01.2211	+00.0245	0000.062
+01.2419	+00.0251	0000.063
+01.2608	+00.0254	0000.064
+01.2815	+00.0257	0000.065
+01.3014	+00.0257	0000.066
+01.3215	+00.0257	0000.067
+01.3414	+00.0263	0000.068
+01.3615	+00.0266	0000.069
+01.3816	+00.0263	0000.070
+01.4018	+00.0269	0000.071
+01.4219	+00.0275	0000.072
+01.4415	+00.0275	0000.073
+01.4616	+00.0275	0000.074
+01.4817	+00.0281	0000.075
+01.5016	+00.0281	0000.076
+01.5217	+00.0281	0000.077
+01.5422	+00.0287	0000.078
+01.5614	+00.0290	0000.079
+01.5818	+00.0290	0000.080
+01.6026	+00.0293	0000.081
+01.6218	+00.0296	0000.082
+01.6420	+00.0290	0000.083
+01.6618	+00.0296	0000.084
+01.6822	+00.0299	0000.085
+01.7018	+00.0302	0000.086
+01.7219	+00.0302	0000.087
+01.7421	+00.0306	0000.088
+01.7619	+00.0309	0000.089
+01.7817	+00.0309	0000.090
+01.8022	+00.0309	0000.091
+01.8223	+00.0315	0000.092
+01.8428	+00.0318	0000.093
+01.8626	+00.0312	0000.094
+01.8824	+00.0318	0000.095
+01.9023	+00.0318	0000.096
+01.9221	+00.0324	0000.097
+01.9416	+00.0324	0000.098
+01.9618	+00.0324	0000.099
+01.9825	+00.0327	0000.100
+02.0018	+00.0330	0000.101
+02.0222	+00.0333	0000.102
+02.0424	+00.0333	0000.103
+02.0622	+00.0333	0000.104
+02.0823	+00.0336	0000.105
+02.1028	+00.0339	0000.106
+02.1223	+00.0339	0000.107
+02.1421	+00.0339	0000.108
+02.1629	+00.0345	0000.109
+02.1821	+00.0345	0000.110
+02.2023	+00.0348	0000.111
+02.2233	+00.0345	0000.112
+02.2422	+00.0351	0000.113
+02.2630	+00.0354	0000.114
+02.2828	+00.0354	0000.115
+02.3027	+00.0351	0000.116
+02.3228	+00.0357	0000.117
