R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0005	-00.0006	0000.000
-00.0002	-00.0012	0000.001
-00.0148	-00.0003	0000.002
-00.0301	-00.0006	0000.003
-00.0451	-00.0012	0000.004
-00.0603	-00.0012	0000.005
-00.0750	-00.0015	0000.006
-00.0899	-00.0012	0000.007
-00.1058	-00.0015	0000.008
-00.1207	-00.0018	0000.009
-00.1351	-00.0018	0000.010
-00.1506	-00.0021	0000.011
-00.1650	-00.0024	0000.012
-00.1802	-00.0033	0000.013
-00.1949	-00.0030	0000.014
-00.2102	-00.0036	0000.015
-00.2254	-00.0045	0000.016
-00.2401	-00.0045	0000.017
-00.2553	-00.0055	0000.018
-00.2700	-00.0058	0000.019
-00.2852	-00.0070	0000.020
-00.3008	-00.0079	0000.021
-00.3157	-00.0097	0000.022
-00.3307	-00.0116	0000.023
-00.3457	-00.0137	0000.024
-00.3603	-00.0158	0000.025
-00.3756	-00.0192	0000.026
-00.3902	-00.0216	0000.027
-00.4058	-00.0259	0000.028
-00.4207	-00.0302	0000.029
-00.4360	-00.0357	0000.030
-00.4506	-00.0418	0000.031
-00.4653	-00.0488	0000.032
-00.4808	-00.0595	0000.033
-00.4952	-00.0702	0000.034
-00.5108	-00.0863	0000.035
-00.5260	-00.1077	0000.036
-00.5410	-00.1358	0000.037
-00.5559	-00.1745	0000.038
-00.5703	-00.2191	0000.039
-00.5858	-00.2722	0000.040
-00.6008	-00.3366	0000.041
-00.6157	-00.4034	0000.042
-00.6316	-00.4614	0000.043
-00.6456	-00.5078	0000.044
-00.6609	-00.5435	0000.045
-00.6755	-00.5728	0000.046
-00.6908	-00.5938	0000.047
-00.7058	-00.6125	0000.048
-00.7213	-00.6250	0000.049
-00.7360	-00.6347	0000.050
-00.7506	-00.6430	0000.051
-00.7659	-00.6497	0000.052
-00.7808	-00.6561	0000.053
-00.7955	-00.6613	0000.054
-00.8113	-00.6662	0000.055
-00.8263	-00.6710	0000.056
-00.8413	-00.6753	0000.057
-00.8559	-00.6799	0000.058
-00.8715	-00.6836	0000.059
-00.8858	-00.6872	0000.060
-00.9014	-00.6906	0000.061
-00.9169	-00.6939	0000.062
-00.9310	-00.6973	0000.063
-00.9465	-00.6994	0000.064
-00.9612	-00.7028	0000.065
-00.9758	-00.7052	0000.066
-00.9914	-00.7080	0000.067
-01.0067	-00.7107	0000.068
-01.0213	-00.7132	0000.069
-01.0366	-00.7168	0000.070
-01.0515	-00.7202	0000.071
-01.0662	-00.7254	0000.072
-01.0814	-00.7296	0000.073
-01.0964	-00.7312	0000.074
-01.1116	-00.7324	0000.075
-01.1263	-00.7336	0000.076
-01.1415	-00.7342	0000.077
-01.1562	-00.7357	0000.078
-01.1715	-00.7360	0000.079
-01.1867	-00.7376	0000.080
-01.2020	-00.7382	0000.081
-01.2166	-00.7394	0000.082
-01.2316	-00.7403	0000.083
-01.2468	-00.7418	0000.084
-01.2615	-00.7422	0000.085
-01.2767	-00.7428	0000.086
-01.2920	-00.7434	0000.087
-01.3066	-00.7437	0000.088
-01.3213	-00.7443	0000.089
-01.3369	-00.7449	0000.090
-01.3521	-00.7461	0000.091
-01.3671	-00.7464	0000.092
-01.3814	-00.7473	0000.093
-01.3973	-00.7473	0000.094
-01.4125	-00.7476	0000.095
-01.4272	-00.7483	0000.096
-01.4421	-00.7479	0000.097
-01.4568	-00.7486	0000.098
-01.4721	-00.7483	0000.099
-01.4867	-00.7489	0000.100
-01.5020	-00.7489	0000.101
-01.5169	-00.7492	0000.102
-01.5322	-00.7492	0000.103
-01.5468	-00.7498	0000.104
-01.5624	-00.7498	0000.105
-01.5767	-00.7498	0000.106
-01.5920	-00.7504	0000.107
-01.6079	-00.7501	0000.108
-01.6228	-00.7504	0000.109
-01.6375	-00.7507	0000.110
-01.6524	-00.7507	0000.111
-01.6674	-00.7507	0000.112
-01.6823	-00.7510	0000.113
-01.6973	-00.7513	0000.114
-01.7134	-00.7510	0000.115
-01.7275	-00.7513	0000.116
-01.7431	-00.7519	0000.117
