R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0002	-00.0015	0000.000
+00.0001	-00.0009	0000.001
+00.0224	-00.0009	0000.002
+00.0447	+00.0003	0000.003
+00.0669	+00.0006	0000.004
+00.0898	+00.0019	0000.005
+00.1130	+00.0028	0000.006
+00.1353	+00.0040	0000.007
+00.1573	+00.0052	0000.008
+00.1796	+00.0074	0000.009
+00.2024	+00.0092	0000.010
+00.2253	+00.0116	0000.011
+00.2476	+00.0138	0000.012
+00.2699	+00.0174	0000.013
+00.2928	+00.0208	0000.014
+00.3147	+00.0235	0000.015
+00.3373	+00.0275	0000.016
+00.3599	+00.0312	0000.017
+00.3831	+00.0351	0000.018
+00.4051	+00.0397	0000.019
+00.4277	+00.0437	0000.020
+00.4506	+00.0486	0000.021
+00.4728	+00.0531	0000.022
+00.4957	+00.0583	0000.023
+00.5174	+00.0635	0000.024
+00.5406	+00.0684	0000.025
+00.5632	+00.0742	0000.026
+00.5851	+00.0797	0000.027
+00.6080	+00.0852	0000.028
+00.6306	+00.0907	0000.029
+00.6532	+00.0968	0000.030
+00.6755	+00.1029	0000.031
+00.6984	+00.1090	0000.032
+00.7206	+00.1151	0000.033
+00.7432	+00.1212	0000.034
+00.7658	+00.1276	0000.035
+00.7878	+00.1337	0000.036
+00.8110	+00.1398	0000.037
+00.8332	+00.1465	0000.038
+00.8558	+00.1526	0000.039
+00.8787	+00.1584	0000.040
+00.9007	+00.1645	0000.041
+00.9233	+00.1709	0000.042
+00.9459	+00.1770	0000.043
+00.9684	+00.1825	0000.044
+00.9910	+00.1886	0000.045
+01.0133	+00.1944	0000.046
+01.0362	+00.2005	0000.047
+01.0588	+00.2057	0000.048
+01.0814	+00.2109	0000.049
+01.1036	+00.2161	0000.050
+01.1265	+00.2210	0000.051
+01.1485	+00.2268	0000.052
+01.1711	+00.2317	0000.053
+01.1937	+00.2359	0000.054
+01.2165	+00.2408	0000.055
+01.2394	+00.2451	0000.056
+01.2617	+00.2491	0000.057
+01.2837	+00.2533	0000.058
+01.3066	+00.2573	0000.059
+01.3288	+00.2613	0000.060
+01.3514	+00.2649	0000.061
+01.3737	+00.2683	0000.062
+01.3963	+00.2723	0000.063
+01.4189	+00.2750	0000.064
+01.4412	+00.2784	0000.065
+01.4637	+00.2817	0000.066
+01.4866	+00.2848	0000.067
+01.5095	+00.2878	0000.068
+01.5321	+00.2906	0000.069
+01.5544	+00.2930	0000.070
+01.5767	+00.2961	0000.071
+01.5992	+00.2988	0000.072
+01.6218	+00.3009	0000.073
+01.6441	+00.3034	0000.074
+01.6670	+00.3061	0000.075
+01.6893	+00.3080	0000.076
+01.7121	+00.3107	0000.077
+01.7338	+00.3128	0000.078
+01.7573	+00.3150	0000.079
+01.7796	+00.3168	0000.080
+01.8022	+00.3193	0000.081
+01.8248	+00.3208	0000.082
+01.8476	+00.3232	0000.083
+01.8693	+00.3254	0000.084
+01.8925	+00.3269	0000.085
+01.9145	+00.3287	0000.086
+01.9371	+00.3302	0000.087
+01.9593	+00.3327	0000.088
+01.9825	+00.3345	0000.089
+02.0048	+00.3357	0000.090
+02.0277	+00.3373	0000.091
+02.0500	+00.3391	0000.092
+02.0726	+00.3409	0000.093
+02.0948	+00.3421	0000.094
+02.1174	+00.3437	0000.095
+02.1400	+00.3458	0000.096
+02.1629	+00.3470	0000.097
+02.1846	+00.3482	0000.098
+02.2075	+00.3498	0000.099
+02.2300	+00.3516	0000.100
+02.2529	+00.3531	0000.101
+02.2749	+00.3540	0000.102
+02.2981	+00.3556	0000.103
+02.3207	+00.3568	0000.104
+02.3429	+00.3583	0000.105
+02.3652	+00.3598	0000.106
+02.3875	+00.3608	0000.107
+02.4101	+00.3620	0000.108
+02.4330	+00.3632	0000.109
+02.4553	+00.3647	0000.110
+02.4781	+00.3659	0000.111
+02.5010	+00.3669	0000.112
+02.5230	+00.3687	0000.113
+02.5456	+00.3693	0000.114
+02.5682	+00.3708	0000.115
+02.5908	+00.3714	0000.116
+02.6127	+00.3730	0000.117
