R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0005	-00.0009	0000.000
-00.0002	-00.0003	0000.001
+00.0795	-00.0006	0000.002
+00.1600	+00.0003	0000.003
+00.2403	+00.0022	0000.004
+00.3199	+00.0031	0000.005
+00.4005	+00.0052	0000.006
+00.4805	+00.0077	0000.007
+00.5601	+00.0101	0000.008
+00.6410	+00.0125	0000.009
+00.7203	+00.0150	0000.010
+00.8006	+00.0171	0000.011
+00.8802	+00.0196	0000.012
+00.9605	+00.0211	0000.013
+01.0411	+00.0229	0000.014
+01.1216	+00.0248	0000.015
+01.2013	+00.0266	0000.016
+01.2819	+00.0275	0000.017
+01.3621	+00.0284	0000.018
+01.4415	+00.0302	0000.019
+01.5220	+00.0315	0000.020
+01.6020	+00.0321	0000.021
+01.6825	+00.0333	0000.022
+01.7619	+00.0339	0000.023
+01.8418	+00.0345	0000.024
+01.9221	+00.0357	0000.025
+02.0021	+00.0364	0000.026
+02.0829	+00.0373	0000.027
+02.1629	+00.0379	0000.028
+02.2425	+00.0388	0000.029
+02.3234	+00.0394	0000.030
+02.4028	+00.0400	0000.031
+02.4827	+00.0403	0000.032
+02.5633	+00.0412	0000.033
+02.6435	+00.0422	0000.034
+02.7235	+00.0428	0000.035
+02.8038	+00.0431	0000.036
+02.8840	+00.0440	0000.037
+02.9643	+00.0443	0000.038
+03.0442	+00.0452	0000.039
+03.1242	+00.0458	0000.040
+03.2035	+00.0464	0000.041
+03.2841	+00.0467	0000.042
+03.3647	+00.0473	0000.043
+03.4452	+00.0483	0000.044
+03.5252	+00.0492	0000.045
+03.6045	+00.0495	0000.046
+03.6851	+00.0501	0000.047
+03.7657	+00.0504	0000.048
+03.8450	+00.0513	0000.049
+03.9256	+00.0519	0000.050
+04.0055	+00.0522	0000.051
+03.9247	+00.0525	0000.052
+03.8453	+00.0522	0000.053
+03.7654	+00.0525	0000.054
+03.6851	+00.0519	0000.055
+03.6052	+00.0519	0000.056
+03.5258	+00.0510	0000.057
+03.4455	+00.0513	0000.058
+03.3644	+00.0507	0000.059
+03.2850	+00.0507	0000.060
+03.2042	+00.0504	0000.061
+03.1242	+00.0504	0000.062
+03.0445	+00.0501	0000.063
+02.9646	+00.0498	0000.064
+02.8843	+00.0489	0000.065
+02.8038	+00.0492	0000.066
+02.7235	+00.0486	0000.067
+02.6432	+00.0486	0000.068
+02.5639	+00.0483	0000.069
+02.4839	+00.0476	0000.070
+02.4034	+00.0473	0000.071
+02.3234	+00.0467	0000.072
+02.2429	+00.0467	0000.073
+02.1632	+00.0464	0000.074
+02.0826	+00.0455	0000.075
+02.0024	+00.0458	0000.076
+01.9227	+00.0452	0000.077
+01.8422	+00.0446	0000.078
+01.7631	+00.0440	0000.079
+01.6816	+00.0440	0000.080
+01.6026	+00.0434	0000.081
+01.5220	+00.0425	0000.082
+01.4421	+00.0418	0000.083
+01.3618	+00.0415	0000.084
+01.2822	+00.0406	0000.085
+01.2019	+00.0400	0000.086
+01.1210	+00.0397	0000.087
+01.0414	+00.0391	0000.088
+00.9611	+00.0379	0000.089
+00.8812	+00.0370	0000.090
+00.8012	+00.0367	0000.091
+00.7212	+00.0354	0000.092
+00.6404	+00.0345	0000.093
+00.5604	+00.0336	0000.094
+00.4805	+00.0330	0000.095
+00.4002	+00.0309	0000.096
+00.3205	+00.0302	0000.097
+00.2400	+00.0281	0000.098
+00.1600	+00.0266	0000.099
