R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0005	-00.0012	0000.000
-00.0002	-00.0009	0000.001
-00.0200	-00.0009	0000.002
-00.0402	-00.0009	0000.003
-00.0600	-00.0006	0000.004
-00.0805	-00.0012	0000.005
-00.0997	-00.0015	0000.006
-00.1201	-00.0015	0000.007
-00.1400	-00.0024	0000.008
-00.1601	-00.0027	0000.009
-00.1802	-00.0027	0000.010
-00.2004	-00.0033	0000.011
-00.2205	-00.0045	0000.012
-00.2401	-00.0052	0000.013
-00.2608	-00.0067	0000.014
-00.2806	-00.0085	0000.015
-00.3005	-00.0103	0000.016
-00.3206	-00.0131	0000.017
-00.3405	-00.0155	0000.018
-00.3606	-00.0189	0000.019
-00.3807	-00.0235	0000.020
-00.4006	-00.0293	0000.021
-00.4207	-00.0363	0000.022
-00.4403	-00.0445	0000.023
-00.4604	-00.0573	0000.024
-00.4802	-00.0744	0000.025
-00.5001	-00.0976	0000.026
-00.5208	-00.1287	0000.027
-00.5407	-00.1657	0000.028
-00.5608	-00.2148	0000.029
-00.5803	-00.2816	0000.030
-00.6008	-00.3662	0000.031
-00.6212	-00.4446	0000.032
-00.6411	-00.5093	0000.033
-00.6609	-00.5529	0000.034
-00.6810	-00.5853	0000.035
-00.7009	-00.6094	0000.036
-00.7213	-00.6247	0000.037
-00.7409	-00.6356	0000.038
-00.7613	-00.6442	0000.039
-00.7808	-00.6521	0000.040
-00.8007	-00.6591	0000.041
-00.8211	-00.6656	0000.042
-00.8413	-00.6707	0000.043
-00.8611	-00.6762	0000.044
-00.8809	-00.6811	0000.045
-00.9014	-00.6845	0000.046
-00.9212	-00.6894	0000.047
-00.9414	-00.6927	0000.048
-00.9615	-00.6961	0000.049
-00.9813	-00.6997	0000.050
-01.0015	-00.7028	0000.051
-01.0216	-00.7071	0000.052
-01.0411	-00.7110	0000.053
-01.0619	-00.7153	0000.054
-01.0814	-00.7238	0000.055
-01.1013	-00.7260	0000.056
-01.1217	-00.7272	0000.057
-01.1412	-00.7284	0000.058
-01.1617	-00.7296	0000.059
-01.1815	-00.7312	0000.060
-01.2017	-00.7321	0000.061
-01.2215	-00.7345	0000.062
-01.2416	-00.7354	0000.063
-01.2621	-00.7367	0000.064
-01.2819	-00.7373	0000.065
-01.3021	-00.7385	0000.066
-01.3219	-00.7385	0000.067
-01.3417	-00.7400	0000.068
-01.3622	-00.7409	0000.069
-01.3817	-00.7412	0000.070
-01.4022	-00.7418	0000.071
-01.4217	-00.7425	0000.072
-01.4421	-00.7428	0000.073
-01.4620	-00.7428	0000.074
-01.4827	-00.7434	0000.075
-01.5020	-00.7434	0000.076
-01.5224	-00.7437	0000.077
-01.5422	-00.7443	0000.078
-01.5621	-00.7443	0000.079
-01.5828	-00.7446	0000.080
-01.6024	-00.7455	0000.081
-01.6228	-00.7449	0000.082
-01.6423	-00.7455	0000.083
-01.6628	-00.7455	0000.084
-01.6820	-00.7461	0000.085
-01.7022	-00.7461	0000.086
-01.7223	-00.7461	0000.087
-01.7427	-00.7467	0000.088
-01.7623	-00.7467	0000.089
-01.7824	-00.7467	0000.090
-01.8029	-00.7470	0000.091
-01.8224	-00.7476	0000.092
-01.8431	-00.7470	0000.093
-01.8624	-00.7473	0000.094
-01.8825	-00.7479	0000.095
-01.9033	-00.7479	0000.096
-01.9231	-00.7479	0000.097
-01.9429	-00.7479	0000.098
-01.9631	-00.7489	0000.099
-01.9826	-00.7486	0000.100
-02.0034	-00.7486	0000.101
-02.0229	-00.7489	0000.102
-02.0430	-00.7495	0000.103
-02.0635	-00.7495	0000.104
-02.0836	-00.7498	0000.105
-02.1035	-00.7495	0000.106
-02.1227	-00.7498	0000.107
-02.1428	-00.7504	0000.108
-02.1633	-00.7504	0000.109
-02.1831	-00.7501	0000.110
-02.2033	-00.7510	0000.111
-02.2231	-00.7507	0000.112
-02.2432	-00.7513	0000.113
-02.2637	-00.7516	0000.114
-02.2835	-00.7513	0000.115
-02.3034	-00.7513	0000.116
-02.3232	-00.7516	0000.117
