R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0002	-00.0009	0000.000
+00.0001	-00.0012	0000.001
+00.0044	-00.0009	0000.002
+00.0084	-00.0003	0000.003
+00.0132	-00.0006	0000.004
+00.0175	-00.0009	0000.005
+00.0218	-00.0006	0000.006
+00.0264	-00.0003	0000.007
+00.0315	-00.0003	0000.008
+00.0361	-00.0003	0000.009
+00.0398	-00.0003	0000.010
+00.0450	+00.0000	0000.011
+00.0489	+00.0003	0000.012
+00.0538	+00.0003	0000.013
+00.0581	+00.0003	0000.014
+00.0630	+00.0006	0000.015
+00.0673	+00.0010	0000.016
+00.0715	+00.0013	0000.017
+00.0764	+00.0006	0000.018
+00.0810	+00.0010	0000.019
+00.0856	+00.0016	0000.020
+00.0898	+00.0019	0000.021
+00.0941	+00.0019	0000.022
+00.0993	+00.0019	0000.023
+00.1036	+00.0022	0000.024
+00.1075	+00.0022	0000.025
+00.1121	+00.0022	0000.026
+00.1170	+00.0028	0000.027
+00.1216	+00.0034	0000.028
+00.1262	+00.0028	0000.029
+00.1301	+00.0034	0000.030
+00.1347	+00.0034	0000.031
+00.1393	+00.0040	0000.032
+00.1439	+00.0040	0000.033
+00.1487	+00.0046	0000.034
+00.1530	+00.0049	0000.035
+00.1573	+00.0049	0000.036
+00.1619	+00.0052	0000.037
+00.1664	+00.0055	0000.038
+00.1710	+00.0061	0000.039
+00.1753	+00.0064	0000.040
+00.1796	+00.0068	0000.041
+00.1841	+00.0071	0000.042
+00.1887	+00.0077	0000.043
+00.1936	+00.0080	0000.044
+00.1979	+00.0083	0000.045
+00.2024	+00.0083	0000.046
+00.2070	+00.0089	0000.047
+00.2116	+00.0092	0000.048
+00.2159	+00.0095	0000.049
+00.2201	+00.0104	0000.050
+00.2247	+00.0107	0000.051
+00.2293	+00.0113	0000.052
+00.2339	+00.0119	0000.053
+00.2385	+00.0122	0000.054
+00.2427	+00.0125	0000.055
+00.2479	+00.0132	0000.056
+00.2522	+00.0138	0000.057
+00.2565	+00.0144	0000.058
+00.2610	+00.0150	0000.059
+00.2656	+00.0144	0000.060
+00.2699	+00.0156	0000.061
+00.2748	+00.0162	0000.062
+00.2793	+00.0168	0000.063
+00.2830	+00.0171	0000.064
+00.2879	+00.0174	0000.065
+00.2925	+00.0183	0000.066
+00.2970	+00.0183	0000.067
+00.3013	+00.0193	0000.068
+00.3065	+00.0202	0000.069
+00.3108	+00.0202	0000.070
+00.3154	+00.0211	0000.071
+00.3193	+00.0217	0000.072
+00.3242	+00.0226	0000.073
+00.3282	+00.0223	0000.074
+00.3334	+00.0235	0000.075
+00.3373	+00.0238	0000.076
+00.3419	+00.0251	0000.077
+00.3468	+00.0254	0000.078
+00.3514	+00.0260	0000.079
+00.3553	+00.0263	0000.080
+00.3602	+00.0269	0000.081
+00.3648	+00.0278	0000.082
+00.3691	+00.0281	0000.083
+00.3733	+00.0290	0000.084
+00.3776	+00.0296	0000.085
+00.3825	+00.0299	0000.086
+00.3874	+00.0309	0000.087
+00.3913	+00.0318	0000.088
+00.3962	+00.0324	0000.089
+00.4005	+00.0327	0000.090
+00.4057	+00.0333	0000.091
+00.4100	+00.0342	0000.092
+00.4142	+00.0345	0000.093
+00.4188	+00.0357	0000.094
+00.4234	+00.0364	0000.095
+00.4274	+00.0370	0000.096
+00.4325	+00.0376	0000.097
+00.4371	+00.0379	0000.098
+00.4414	+00.0388	0000.099
+00.4463	+00.0397	0000.100
+00.4502	+00.0403	0000.101
+00.4545	+00.0409	0000.102
+00.4594	+00.0415	0000.103
+00.4637	+00.0425	0000.104
+00.4686	+00.0431	0000.105
+00.4731	+00.0437	0000.106
+00.4771	+00.0446	0000.107
+00.4817	+00.0455	0000.108
+00.4860	+00.0461	0000.109
+00.4911	+00.0467	0000.110
+00.4954	+00.0473	0000.111
+00.4994	+00.0483	0000.112
+00.5049	+00.0486	0000.113
+00.5085	+00.0498	0000.114
+00.5137	+00.0504	0000.115
+00.5180	+00.0510	0000.116
+00.5223	+00.0513	0000.117
