R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
+00.0004	-00.0012	0000.000
-00.0002	-00.0009	0000.001
+00.0300	-00.0009	0000.002
+00.0599	-00.0006	0000.003
+00.0895	-00.0003	0000.004
+00.1200	-00.0009	0000.005
+00.1493	-00.0003	0000.006
+00.1796	-00.0006	0000.007
+00.2095	+00.0000	0000.008
+00.2403	-00.0003	0000.009
+00.2696	+00.0000	0000.010
+00.3001	+00.0000	0000.011
+00.3300	+00.0000	0000.012
+00.3599	+00.0006	0000.013
+00.3898	+00.0006	0000.014
+00.4206	+00.0006	0000.015
+00.4502	+00.0010	0000.016
+00.4805	+00.0016	0000.017
+00.5104	+00.0010	0000.018
+00.5400	+00.0019	0000.019
+00.5705	+00.0022	0000.020
+00.6010	+00.0019	0000.021
+00.6300	+00.0031	0000.022
+00.6602	+00.0037	0000.023
+00.6907	+00.0055	0000.024
+00.7209	+00.0077	0000.025
+00.7508	+00.0089	0000.026
+00.7804	+00.0174	0000.027
+00.8104	+00.0302	0000.028
+00.8406	+00.0895	0000.029
+00.8705	+00.5057	0000.030
+00.9010	+00.5481	0000.031
+00.9306	+00.5695	0000.032
+00.9611	+00.5884	0000.033
+00.9910	+00.6089	0000.034
+01.0215	+00.6244	0000.035
+01.0508	+00.6430	0000.036
+01.0807	+00.6601	0000.037
+01.1113	+00.6733	0000.038
+01.1412	+00.6974	0000.039
+01.1711	+00.7068	0000.040
+01.2013	+00.7126	0000.041
+01.2312	+00.7184	0000.042
+01.2611	+00.7218	0000.043
+01.2910	+00.7267	0000.044
+01.3212	+00.7297	0000.045
+01.3514	+00.7318	0000.046
+01.3816	+00.7343	0000.047
+01.4116	+00.7364	0000.048
+01.4415	+00.7386	0000.049
+01.4711	+00.7410	0000.050
+01.5019	+00.7419	0000.051
+01.5315	+00.7434	0000.052
+01.5620	+00.7456	0000.053
+01.5919	+00.7465	0000.054
+01.6221	+00.7483	0000.055
+01.6523	+00.7502	0000.056
+01.6813	+00.7508	0000.057
+01.7121	+00.7526	0000.058
+01.7418	+00.7541	0000.059
+01.7717	+00.7547	0000.060
+01.8019	+00.7560	0000.061
+01.8324	+00.7569	0000.062
+01.8620	+00.7572	0000.063
+01.8922	+00.7575	0000.064
+01.9221	+00.7587	0000.065
+01.9517	+00.7593	0000.066
+01.9822	+00.7596	0000.067
+02.0121	+00.7602	0000.068
+02.0424	+00.7608	0000.069
+02.0723	+00.7615	0000.070
+02.1022	+00.7621	0000.071
+02.1324	+00.7624	0000.072
+02.1623	+00.7627	0000.073
+02.1922	+00.7630	0000.074
+02.2221	+00.7639	0000.075
+02.2523	+00.7642	0000.076
+02.2819	+00.7645	0000.077
+02.3127	+00.7648	0000.078
+02.3426	+00.7654	0000.079
+02.3722	+00.7660	0000.080
+02.4028	+00.7663	0000.081
+02.4327	+00.7669	0000.082
+02.4623	+00.7676	0000.083
+02.4922	+00.7672	0000.084
+02.5236	+00.7679	0000.085
+02.5535	+00.7682	0000.086
+02.5825	+00.7691	0000.087
+02.6130	+00.7691	0000.088
+02.6432	+00.7688	0000.089
+02.6731	+00.7700	0000.090
+02.7031	+00.7700	0000.091
+02.7333	+00.7706	0000.092
+02.7629	+00.7709	0000.093
+02.7928	+00.7712	0000.094
+02.8233	+00.7715	0000.095
+02.8538	+00.7715	0000.096
+02.8837	+00.7721	0000.097
+02.9136	+00.7724	0000.098
+02.9441	+00.7727	0000.099
+02.9734	+00.7727	0000.100
+03.0033	+00.7734	0000.101
+02.9734	+00.7734	0000.102
+02.9438	+00.7737	0000.103
+02.9136	+00.7734	0000.104
+02.8834	+00.7730	0000.105
+02.8535	+00.7730	0000.106
+02.8236	+00.7730	0000.107
+02.7934	+00.7730	0000.108
+02.7635	+00.7737	0000.109
+02.7333	+00.7730	0000.110
+02.7031	+00.7730	0000.111
+02.6731	+00.7730	0000.112
+02.6432	+00.7724	0000.113
+02.6133	+00.7727	0000.114
+02.5831	+00.7721	0000.115
+02.5538	+00.7721	0000.116
+02.5233	+00.7718	0000.117
