R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
+00.0001	-00.0012	0000.000
-00.0005	-00.0009	0000.001
+00.0087	-00.0009	0000.002
+00.0175	-00.0006	0000.003
+00.0270	-00.0003	0000.004
+00.0358	-00.0003	0000.005
+00.0444	-00.0003	0000.006
+00.0538	+00.0003	0000.007
+00.0627	+00.0006	0000.008
+00.0715	+00.0013	0000.009
+00.0810	+00.0013	0000.010
+00.0892	+00.0019	0000.011
+00.0993	+00.0016	0000.012
+00.1075	+00.0025	0000.013
+00.1170	+00.0028	0000.014
+00.1262	+00.0037	0000.015
+00.1347	+00.0037	0000.016
+00.1439	+00.0046	0000.017
+00.1530	+00.0052	0000.018
+00.1619	+00.0061	0000.019
+00.1713	+00.0068	0000.020
+00.1796	+00.0077	0000.021
+00.1887	+00.0083	0000.022
+00.1973	+00.0095	0000.023
+00.2070	+00.0101	0000.024
+00.2156	+00.0113	0000.025
+00.2250	+00.0119	0000.026
+00.2339	+00.0132	0000.027
+00.2433	+00.0144	0000.028
+00.2516	+00.0156	0000.029
+00.2610	+00.0168	0000.030
+00.2699	+00.0177	0000.031
+00.2793	+00.0190	0000.032
+00.2879	+00.0208	0000.033
+00.2970	+00.0223	0000.034
+00.3062	+00.0235	0000.035
+00.3151	+00.0248	0000.036
+00.3242	+00.0263	0000.037
+00.3334	+00.0278	0000.038
+00.3422	+00.0296	0000.039
+00.3517	+00.0302	0000.040
+00.3605	+00.0324	0000.041
+00.3694	+00.0345	0000.042
+00.3779	+00.0351	0000.043
+00.3874	+00.0379	0000.044
+00.3959	+00.0385	0000.045
+00.4054	+00.0406	0000.046
+00.4145	+00.0425	0000.047
+00.4234	+00.0446	0000.048
+00.4319	+00.0461	0000.049
+00.4414	+00.0486	0000.050
+00.4502	+00.0501	0000.051
+00.4594	+00.0519	0000.052
+00.4689	+00.0537	0000.053
+00.4777	+00.0553	0000.054
+00.4866	+00.0577	0000.055
+00.4954	+00.0595	0000.056
+00.5046	+00.0620	0000.057
+00.5137	+00.0638	0000.058
+00.5220	+00.0660	0000.059
+00.5320	+00.0675	0000.060
+00.5406	+00.0702	0000.061
+00.5491	+00.0721	0000.062
+00.5586	+00.0742	0000.063
+00.5677	+00.0766	0000.064
+00.5763	+00.0785	0000.065
+00.5857	+00.0809	0000.066
+00.5943	+00.0833	0000.067
+00.6034	+00.0855	0000.068
+00.6123	+00.0873	0000.069
+00.6215	+00.0901	0000.070
+00.6306	+00.0919	0000.071
+00.6398	+00.0943	0000.072
+00.6486	+00.0965	0000.073
+00.6575	+00.0986	0000.074
+00.6669	+00.1017	0000.075
+00.6755	+00.1035	0000.076
+00.6846	+00.1059	0000.077
+00.6941	+00.1081	0000.078
+00.7023	+00.1105	0000.079
+00.7115	+00.1130	0000.080
+00.7206	+00.1151	0000.081
+00.7292	+00.1178	0000.082
+00.7389	+00.1200	0000.083
+00.7475	+00.1221	0000.084
+00.7573	+00.1249	0000.085
+00.7655	+00.1273	0000.086
+00.7753	+00.1291	0000.087
+00.7838	+00.1319	0000.088
+00.7927	+00.1343	0000.089
+00.8018	+00.1368	0000.090
+00.8110	+00.1392	0000.091
+00.8192	+00.1416	0000.092
+00.8290	+00.1432	0000.093
+00.8375	+00.1459	0000.094
+00.8470	+00.1480	0000.095
+00.8555	+00.1502	0000.096
+00.8647	+00.1526	0000.097
+00.8738	+00.1548	0000.098
+00.8830	+00.1575	0000.099
+00.8915	+00.1596	0000.100
+00.9010	+00.1621	0000.101
+00.9095	+00.1648	0000.102
+00.9193	+00.1661	0000.103
+00.9282	+00.1691	0000.104
+00.9373	+00.1706	0000.105
+00.9459	+00.1731	0000.106
+00.9553	+00.1752	0000.107
+00.9642	+00.1770	0000.108
+00.9730	+00.1795	0000.109
+00.9822	+00.1816	0000.110
+00.9910	+00.1841	0000.111
+00.9999	+00.1862	0000.112
+01.0093	+00.1877	0000.113
+01.0182	+00.1902	0000.114
+01.0273	+00.1920	0000.115
+01.0362	+00.1941	0000.116
+01.0453	+00.1960	0000.117
