R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0005	-00.0012	0000.000
+00.0001	-00.0006	0000.001
+00.0087	-00.0009	0000.002
+00.0178	-00.0003	0000.003
+00.0267	+00.0000	0000.004
+00.0352	+00.0003	0000.005
+00.0450	+00.0010	0000.006
+00.0535	+00.0019	0000.007
+00.0627	+00.0025	0000.008
+00.0715	+00.0040	0000.009
+00.0807	+00.0046	0000.010
+00.0895	+00.0058	0000.011
+00.0987	+00.0074	0000.012
+00.1078	+00.0089	0000.013
+00.1167	+00.0104	0000.014
+00.1258	+00.0129	0000.015
+00.1350	+00.0150	0000.016
+00.1439	+00.0171	0000.017
+00.1530	+00.0190	0000.018
+00.1616	+00.0214	0000.019
+00.1707	+00.0235	0000.020
+00.1799	+00.0266	0000.021
+00.1890	+00.0290	0000.022
+00.1979	+00.0324	0000.023
+00.2070	+00.0348	0000.024
+00.2162	+00.0379	0000.025
+00.2256	+00.0412	0000.026
+00.2342	+00.0446	0000.027
+00.2427	+00.0473	0000.028
+00.2522	+00.0510	0000.029
+00.2607	+00.0547	0000.030
+00.2699	+00.0583	0000.031
+00.2790	+00.0620	0000.032
+00.2879	+00.0656	0000.033
+00.2970	+00.0693	0000.034
+00.3062	+00.0736	0000.035
+00.3147	+00.0776	0000.036
+00.3242	+00.0815	0000.037
+00.3337	+00.0858	0000.038
+00.3425	+00.0901	0000.039
+00.3514	+00.0949	0000.040
+00.3602	+00.0998	0000.041
+00.3697	+00.1041	0000.042
+00.3779	+00.1093	0000.043
+00.3874	+00.1139	0000.044
+00.3965	+00.1191	0000.045
+00.4057	+00.1239	0000.046
+00.4142	+00.1294	0000.047
+00.4234	+00.1343	0000.048
+00.4322	+00.1404	0000.049
+00.4414	+00.1459	0000.050
+00.4502	+00.1517	0000.051
+00.4597	+00.1575	0000.052
+00.4683	+00.1639	0000.053
+00.4774	+00.1694	0000.054
+00.4863	+00.1758	0000.055
+00.4954	+00.1825	0000.056
+00.5043	+00.1886	0000.057
+00.5137	+00.1957	0000.058
+00.5223	+00.2024	0000.059
+00.5317	+00.2088	0000.060
+00.5403	+00.2158	0000.061
+00.5497	+00.2231	0000.062
+00.5583	+00.2301	0000.063
+00.5668	+00.2375	0000.064
+00.5766	+00.2448	0000.065
+00.5851	+00.2521	0000.066
+00.5949	+00.2600	0000.067
+00.6038	+00.2680	0000.068
+00.6123	+00.2759	0000.069
+00.6218	+00.2842	0000.070
+00.6306	+00.2921	0000.071
+00.6395	+00.3000	0000.072
+00.6483	+00.3080	0000.073
+00.6575	+00.3171	0000.074
+00.6666	+00.3254	0000.075
+00.6752	+00.3339	0000.076
+00.6846	+00.3421	0000.077
+00.6938	+00.3510	0000.078
+00.7023	+00.3595	0000.079
+00.7112	+00.3687	0000.080
+00.7206	+00.3775	0000.081
+00.7298	+00.3861	0000.082
+00.7386	+00.3952	0000.083
+00.7478	+00.4041	0000.084
+00.7569	+00.4132	0000.085
+00.7655	+00.4224	0000.086
+00.7750	+00.4306	0000.087
+00.7838	+00.4401	0000.088
+00.7927	+00.4493	0000.089
+00.8015	+00.4584	0000.090
+00.8104	+00.4673	0000.091
+00.8198	+00.4764	0000.092
+00.8284	+00.4856	0000.093
+00.8375	+00.4947	0000.094
+00.8470	+00.5042	0000.095
+00.8555	+00.5130	0000.096
+00.8647	+00.5225	0000.097
+00.8741	+00.5317	0000.098
+00.8827	+00.5405	0000.099
+00.8915	+00.5506	0000.100
+00.9013	+00.5597	0000.101
+00.9098	+00.5692	0000.102
+00.9187	+00.5786	0000.103
+00.9282	+00.5881	0000.104
+00.9373	+00.5973	0000.105
+00.9462	+00.6067	0000.106
+00.9547	+00.6165	0000.107
+00.9642	+00.6253	0000.108
+00.9733	+00.6351	0000.109
+00.9822	+00.6449	0000.110
+00.9910	+00.6537	0000.111
+01.0002	+00.6629	0000.112
+01.0093	+00.6720	0000.113
+01.0179	+00.6812	0000.114
+01.0270	+00.6906	0000.115
+01.0359	+00.6995	0000.116
+01.0453	+00.7087	0000.117
