R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
+00.0001	-00.0012	0000.000
+00.0001	-00.0015	0000.001
+00.0087	-00.0012	0000.002
+00.0178	-00.0003	0000.003
+00.0267	-00.0003	0000.004
+00.0358	-00.0003	0000.005
+00.0441	+00.0000	0000.006
+00.0532	+00.0000	0000.007
+00.0627	+00.0003	0000.008
+00.0715	+00.0003	0000.009
+00.0810	+00.0016	0000.010
+00.0895	+00.0016	0000.011
+00.0990	+00.0016	0000.012
+00.1075	+00.0019	0000.013
+00.1167	+00.0028	0000.014
+00.1255	+00.0031	0000.015
+00.1350	+00.0037	0000.016
+00.1442	+00.0040	0000.017
+00.1527	+00.0046	0000.018
+00.1619	+00.0055	0000.019
+00.1707	+00.0061	0000.020
+00.1799	+00.0064	0000.021
+00.1890	+00.0074	0000.022
+00.1976	+00.0077	0000.023
+00.2067	+00.0092	0000.024
+00.2159	+00.0101	0000.025
+00.2250	+00.0107	0000.026
+00.2342	+00.0116	0000.027
+00.2427	+00.0125	0000.028
+00.2519	+00.0138	0000.029
+00.2610	+00.0147	0000.030
+00.2696	+00.0156	0000.031
+00.2790	+00.0165	0000.032
+00.2882	+00.0177	0000.033
+00.2977	+00.0187	0000.034
+00.3056	+00.0199	0000.035
+00.3151	+00.0214	0000.036
+00.3245	+00.0220	0000.037
+00.3334	+00.0235	0000.038
+00.3419	+00.0251	0000.039
+00.3514	+00.0260	0000.040
+00.3599	+00.0275	0000.041
+00.3691	+00.0284	0000.042
+00.3785	+00.0302	0000.043
+00.3874	+00.0312	0000.044
+00.3962	+00.0327	0000.045
+00.4054	+00.0345	0000.046
+00.4139	+00.0357	0000.047
+00.4234	+00.0367	0000.048
+00.4322	+00.0385	0000.049
+00.4417	+00.0397	0000.050
+00.4499	+00.0418	0000.051
+00.4591	+00.0428	0000.052
+00.4683	+00.0446	0000.053
+00.4774	+00.0464	0000.054
+00.4863	+00.0473	0000.055
+00.4951	+00.0495	0000.056
+00.5046	+00.0510	0000.057
+00.5134	+00.0522	0000.058
+00.5229	+00.0541	0000.059
+00.5314	+00.0559	0000.060
+00.5403	+00.0571	0000.061
+00.5488	+00.0589	0000.062
+00.5589	+00.0608	0000.063
+00.5668	+00.0620	0000.064
+00.5760	+00.0644	0000.065
+00.5851	+00.0653	0000.066
+00.5949	+00.0672	0000.067
+00.6031	+00.0690	0000.068
+00.6123	+00.0708	0000.069
+00.6208	+00.0730	0000.070
+00.6306	+00.0745	0000.071
+00.6395	+00.0760	0000.072
+00.6486	+00.0779	0000.073
+00.6575	+00.0797	0000.074
+00.6669	+00.0809	0000.075
+00.6749	+00.0833	0000.076
+00.6849	+00.0852	0000.077
+00.6938	+00.0867	0000.078
+00.7029	+00.0885	0000.079
+00.7112	+00.0904	0000.080
+00.7203	+00.0919	0000.081
+00.7301	+00.0934	0000.082
+00.7389	+00.0956	0000.083
+00.7478	+00.0974	0000.084
+00.7569	+00.0992	0000.085
+00.7652	+00.1007	0000.086
+00.7750	+00.1026	0000.087
+00.7835	+00.1044	0000.088
+00.7927	+00.1059	0000.089
+00.8018	+00.1078	0000.090
+00.8110	+00.1099	0000.091
+00.8198	+00.1114	0000.092
+00.8287	+00.1133	0000.093
+00.8378	+00.1151	0000.094
+00.8467	+00.1169	0000.095
+00.8555	+00.1187	0000.096
+00.8650	+00.1203	0000.097
+00.8738	+00.1218	0000.098
+00.8827	+00.1233	0000.099
+00.8921	+00.1252	0000.100
+00.9013	+00.1267	0000.101
+00.9101	+00.1285	0000.102
+00.9193	+00.1303	0000.103
+00.9282	+00.1322	0000.104
+00.9367	+00.1337	0000.105
+00.9462	+00.1352	0000.106
+00.9547	+00.1368	0000.107
+00.9645	+00.1383	0000.108
+00.9730	+00.1398	0000.109
+00.9822	+00.1410	0000.110
+00.9913	+00.1432	0000.111
+01.0002	+00.1447	0000.112
+01.0090	+00.1465	0000.113
+01.0182	+00.1477	0000.114
+01.0276	+00.1490	0000.115
+01.0359	+00.1505	0000.116
+01.0453	+00.1520	0000.117
