R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
-00.0002	-00.0009	0000.000
-00.0005	-00.0009	0000.001
+00.0193	-00.0006	0000.002
+00.0395	-00.0003	0000.003
+00.0596	+00.0000	0000.004
+00.0798	-00.0006	0000.005
+00.0996	+00.0000	0000.006
+00.1194	+00.0010	0000.007
+00.1396	+00.0010	0000.008
+00.1600	+00.0013	0000.009
+00.1796	+00.0022	0000.010
+00.1994	+00.0031	0000.011
+00.2198	+00.0037	0000.012
+00.2400	+00.0049	0000.013
+00.2601	+00.0055	0000.014
+00.2800	+00.0068	0000.015
+00.2998	+00.0083	0000.016
+00.3199	+00.0095	0000.017
+00.3404	+00.0110	0000.018
+00.3602	+00.0119	0000.019
+00.3804	+00.0138	0000.020
+00.4002	+00.0159	0000.021
+00.4200	+00.0174	0000.022
+00.4402	+00.0193	0000.023
+00.4603	+00.0208	0000.024
+00.4799	+00.0232	0000.025
+00.5003	+00.0248	0000.026
+00.5204	+00.0278	0000.027
+00.5403	+00.0290	0000.028
+00.5601	+00.0321	0000.029
+00.5806	+00.0336	0000.030
+00.6007	+00.0357	0000.031
+00.6202	+00.0376	0000.032
+00.6410	+00.0394	0000.033
+00.6608	+00.0412	0000.034
+00.6810	+00.0434	0000.035
+00.7005	+00.0446	0000.036
+00.7206	+00.0458	0000.037
+00.7408	+00.0476	0000.038
+00.7603	+00.0489	0000.039
+00.7801	+00.0504	0000.040
+00.8009	+00.0516	0000.041
+00.8204	+00.0528	0000.042
+00.8412	+00.0544	0000.043
+00.8607	+00.0556	0000.044
+00.8809	+00.0565	0000.045
+00.9007	+00.0574	0000.046
+00.9208	+00.0577	0000.047
+00.9410	+00.0589	0000.048
+00.9611	+00.0599	0000.049
+00.9813	+00.0602	0000.050
+01.0011	+00.0617	0000.051
+01.0212	+00.0617	0000.052
+01.0414	+00.0626	0000.053
+01.0609	+00.0632	0000.054
+01.0814	+00.0635	0000.055
+01.1012	+00.0647	0000.056
+01.1210	+00.0644	0000.057
+01.1418	+00.0653	0000.058
+01.1610	+00.0656	0000.059
+01.1814	+00.0669	0000.060
+01.2013	+00.0669	0000.061
+01.2217	+00.0672	0000.062
+01.2419	+00.0672	0000.063
+01.2614	+00.0678	0000.064
+01.2819	+00.0687	0000.065
+01.3014	+00.0684	0000.066
+01.3215	+00.0693	0000.067
+01.3414	+00.0690	0000.068
+01.3618	+00.0693	0000.069
+01.3816	+00.0702	0000.070
+01.4015	+00.0702	0000.071
+01.4213	+00.0708	0000.072
+01.4415	+00.0705	0000.073
+01.4616	+00.0711	0000.074
+01.4811	+00.0711	0000.075
+01.5022	+00.0714	0000.076
+01.5217	+00.0721	0000.077
+01.5419	+00.0727	0000.078
+01.5620	+00.0721	0000.079
+01.5818	+00.0727	0000.080
+01.6020	+00.0733	0000.081
+01.6221	+00.0730	0000.082
+01.6417	+00.0733	0000.083
+01.6621	+00.0736	0000.084
+01.6819	+00.0736	0000.085
+01.7024	+00.0739	0000.086
+01.7219	+00.0742	0000.087
+01.7418	+00.0745	0000.088
+01.7619	+00.0748	0000.089
+01.7820	+00.0751	0000.090
+01.8025	+00.0754	0000.091
+01.8223	+00.0757	0000.092
+01.8418	+00.0757	0000.093
+01.8620	+00.0760	0000.094
+01.8827	+00.0760	0000.095
+01.9017	+00.0763	0000.096
+01.9224	+00.0769	0000.097
+01.9419	+00.0763	0000.098
+01.9621	+00.0769	0000.099
+01.9819	+00.0766	0000.100
+02.0024	+00.0785	0000.101
+02.0216	+00.0779	0000.102
+02.0424	+00.0779	0000.103
+02.0625	+00.0779	0000.104
+02.0820	+00.0782	0000.105
+02.1028	+00.0785	0000.106
+02.1223	+00.0788	0000.107
+02.1428	+00.0788	0000.108
+02.1626	+00.0791	0000.109
+02.1830	+00.0794	0000.110
+02.2032	+00.0791	0000.111
+02.2227	+00.0797	0000.112
+02.2419	+00.0803	0000.113
+02.2624	+00.0800	0000.114
+02.2825	+00.0803	0000.115
+02.3030	+00.0806	0000.116
+02.3231	+00.0812	0000.117
