R,Ohm	C,pF	Temp,C
0000000000	0000100000	+025.00
Ch1,V	Ch2,V	Time,s
+00.0001	-00.0009	0000.000
-00.0002	-00.0009	0000.001
+00.0016	-00.0006	0000.002
+00.0029	-00.0015	0000.003
+00.0050	-00.0003	0000.004
+00.0068	-00.0003	0000.005
+00.0090	-00.0003	0000.006
+00.0102	-00.0006	0000.007
+00.0126	+00.0000	0000.008
+00.0138	-00.0003	0000.009
+00.0163	-00.0003	0000.010
+00.0172	+00.0000	0000.011
+00.0196	+00.0000	0000.012
+00.0215	+00.0000	0000.013
+00.0227	+00.0006	0000.014
+00.0251	+00.0006	0000.015
+00.0270	+00.0003	0000.016
+00.0288	+00.0010	0000.017
+00.0306	+00.0010	0000.018
+00.0322	+00.0013	0000.019
+00.0343	+00.0013	0000.020
+00.0358	+00.0013	0000.021
+00.0373	+00.0016	0000.022
+00.0398	+00.0019	0000.023
+00.0407	+00.0022	0000.024
+00.0428	+00.0022	0000.025
+00.0450	+00.0025	0000.026
+00.0468	+00.0028	0000.027
+00.0489	+00.0031	0000.028
+00.0499	+00.0034	0000.029
+00.0520	+00.0040	0000.030
+00.0535	+00.0040	0000.031
+00.0554	+00.0043	0000.032
+00.0569	+00.0049	0000.033
+00.0593	+00.0049	0000.034
+00.0611	+00.0055	0000.035
+00.0630	+00.0055	0000.036
+00.0645	+00.0058	0000.037
+00.0663	+00.0058	0000.038
+00.0685	+00.0074	0000.039
+00.0700	+00.0071	0000.040
+00.0715	+00.0077	0000.041
+00.0731	+00.0080	0000.042
+00.0755	+00.0086	0000.043
+00.0773	+00.0089	0000.044
+00.0792	+00.0092	0000.045
+00.0807	+00.0098	0000.046
+00.0828	+00.0098	0000.047
+00.0846	+00.0104	0000.048
+00.0865	+00.0116	0000.049
+00.0880	+00.0119	0000.050
+00.0898	+00.0125	0000.051
+00.0917	+00.0125	0000.052
+00.0935	+00.0132	0000.053
+00.0953	+00.0138	0000.054
+00.0972	+00.0147	0000.055
+00.0990	+00.0150	0000.056
+00.1011	+00.0153	0000.057
+00.1027	+00.0156	0000.058
+00.1048	+00.0168	0000.059
+00.1060	+00.0168	0000.060
+00.1078	+00.0180	0000.061
+00.1097	+00.0180	0000.062
+00.1115	+00.0190	0000.063
+00.1133	+00.0193	0000.064
+00.1149	+00.0202	0000.065
+00.1170	+00.0208	0000.066
+00.1188	+00.0211	0000.067
+00.1204	+00.0217	0000.068
+00.1225	+00.0226	0000.069
+00.1240	+00.0232	0000.070
+00.1258	+00.0235	0000.071
+00.1274	+00.0241	0000.072
+00.1298	+00.0251	0000.073
+00.1310	+00.0257	0000.074
+00.1329	+00.0263	0000.075
+00.1350	+00.0269	0000.076
+00.1371	+00.0275	0000.077
+00.1387	+00.0284	0000.078
+00.1405	+00.0290	0000.079
+00.1420	+00.0296	0000.080
+00.1439	+00.0302	0000.081
+00.1460	+00.0312	0000.082
+00.1478	+00.0318	0000.083
+00.1493	+00.0321	0000.084
+00.1512	+00.0330	0000.085
+00.1530	+00.0336	0000.086
+00.1551	+00.0348	0000.087
+00.1564	+00.0354	0000.088
+00.1585	+00.0360	0000.089
+00.1600	+00.0370	0000.090
+00.1622	+00.0376	0000.091
+00.1634	+00.0379	0000.092
+00.1652	+00.0388	0000.093
+00.1670	+00.0403	0000.094
+00.1689	+00.0406	0000.095
+00.1707	+00.0415	0000.096
+00.1728	+00.0422	0000.097
+00.1744	+00.0428	0000.098
+00.1765	+00.0437	0000.099
+00.1777	+00.0446	0000.100
+00.1796	+00.0455	0000.101
+00.1814	+00.0464	0000.102
+00.1835	+00.0467	0000.103
+00.1851	+00.0479	0000.104
+00.1869	+00.0489	0000.105
+00.1887	+00.0498	0000.106
+00.1912	+00.0510	0000.107
+00.1918	+00.0513	0000.108
+00.1945	+00.0522	0000.109
+00.1957	+00.0534	0000.110
+00.1976	+00.0537	0000.111
+00.2000	+00.0544	0000.112
+00.2018	+00.0556	0000.113
+00.2031	+00.0562	0000.114
+00.2049	+00.0571	0000.115
+00.2070	+00.0580	0000.116
+00.2089	+00.0592	0000.117
